,종목코드1,종목명,종목코드2,시장구분
55,A122800,썬텍,122800,
56,A192090,TIGER 차이나CSI300,192090,
57,A058370,비엔씨컴퍼니,058370,
58,A099660,신텍,099660,
59,A257730,신한제3호스팩,257730,
60,A104110,신성이엔지,104110,
61,A002000,생고뱅코리아홀딩스,002000,
62,A016170,카카오M,016170,
63,A095300,엔에스브이,095300,
64,A123260,파인넥스,123260,
65,A007190,한솔아트원제지,007190,
66,A155960,지디,155960,
67,A052270,우전,052270,
68,A002550,KB손해보험,002550,
69,A061460,한진피앤씨,061460,
70,A077280,한컴지엠디,077280,
71,A233160,TIGER 코스닥150 레버리지,233160,
72,A081970,넥스지,081970,
73,A110570,넥솔론,110570,
74,A253160,ARIRANG 200선물인버스2X,253160,
75,A271050,KODEX WTI원유선물인버스(H),271050,
76,A217780,TIGER 차이나CSI300인버스(합성),217780,
77,A252420,KBSTAR 200선물인버스2X,252420,
78,A252710,TIGER 200선물인버스2X,252710,
79,A185680,KODEX 미국S&P바이오(합성),185680,
80,A219480,KODEX 미국S&P500선물(H),219480,
81,A219900,KINDEX 중국본토CSI300레버리지(합성),219900,
82,A245710,KINDEX 베트남VN30(합성),245710,
83,A130680,TIGER 원유선물Enhanced(H),130680,
84,A315960,KBSTAR 대형고배당10TR,315960,
85,A123320,TIGER 레버리지,123320,
86,A225650,쿠첸,225650,
87,A065940,바이오빌,065940,
88,A108790,인터파크,108790,
89,A102110,TIGER 200,102110,
90,A002300,한국제지,002300,
91,A027390,한화갤러리아타임월드,027390,
92,A227540,TIGER 200 헬스케어,227540,
93,A226490,KODEX 코스피,226490,
94,A237350,KODEX 코스피100,237350,
95,A250780,TIGER 코스닥150선물인버스,250780,
96,A079440,오렌지라이프,079440,
97,A099140,KODEX China H,099140,
98,A105190,KINDEX 200,105190,
99,A123310,TIGER 인버스,123310,
100,A139260,TIGER 200 IT,139260,
101,A145670,KINDEX 인버스,145670,
102,A152500,KINDEX 레버리지,152500,
103,A169950,KODEX 중국본토 A50,169950,
104,A244580,KODEX 바이오,244580,
105,A102960,KODEX 기계장비,102960,
106,A013367,일성건설2우B,013367,
107,A004130,대덕GDS,004130,
108,A364980,TIGER KRX2차전지K-뉴딜,364980,
109,A054340,피앤텔,054340,
110,A217770,TIGER 원유선물인버스(H),217770,
111,A002250,알보젠코리아,002250,
112,A079660,사조해표,079660,
113,A004987,성신양회2우B,004987,
114,A204450,KODEX China H 레버리지(H),204450,
115,A305720,KODEX 2차전지산업,305720,
116,A280940,KODEX 골드선물인버스(H),280940,
117,A236350,TIGER 인도니프티50레버리지(합성),236350,
118,A226380,KINDEX Fn성장소비주도주,226380,
119,A195930,TIGER 유로스탁스50(합성 H),195930,
120,A117700,KODEX 건설,117700,
121,A117690,TIGER 차이나항셍25,117690,
122,A069660,KOSEF 200,069660,
123,A219390,KBSTAR 미국S&P원유생산기업(합성 H),219390,
124,A102970,KODEX 증권,102970,
125,A091170,KODEX 은행,091170,
126,A091160,KODEX 반도체,091160,
127,A105010,TIGER 라틴35,105010,
128,A117460,KODEX 에너지화학,117460,
129,A140700,KODEX 보험,140700,
130,A143860,TIGER 헬스케어,143860,
131,A157490,TIGER 소프트웨어,157490,
132,A161510,ARIRANG 고배당주,161510,
133,A195980,ARIRANG 신흥국MSCI(합성 H),195980,
134,A200250,KOSEF 인도Nifty50(합성),200250,
135,A203780,TIGER 미국나스닥바이오,203780,
136,A211900,KODEX 배당성장,211900,
137,A228790,TIGER 화장품,228790,
138,A329670,KODEX TRF7030,329670,
139,A253280,KBSTAR 헬스케어,253280,
140,A253990,TIGER 대만TAIEX선물(H),253990,
141,A256440,KINDEX 인도네시아MSCI(합성),256440,
142,A256750,KODEX 심천ChiNext(합성),256750,
143,A261920,KINDEX 필리핀MSCI(합성),261920,
144,A265690,KINDEX 러시아MSCI(합성),265690,
145,A266360,KODEX 미디어&엔터테인먼트,266360,
146,A266370,KODEX IT,266370,
147,A266420,KODEX 헬스케어,266420,
148,A278530,KODEX 200TR,278530,
149,A278540,KODEX MSCI Korea TR,278540,
150,A284430,KODEX 200미국채혼합,284430,
151,A285000,KBSTAR 200IT,285000,
152,A292190,KODEX KRX300,292190,
153,A293180,HANARO 200,293180,
154,A294400,KOSEF 200TR,294400,
155,A295040,SOL 200TR,295040,
156,A300950,KODEX 게임산업,300950,
157,A307510,TIGER 의료기기,307510,
158,A310960,TIGER 200TR,310960,
159,A315480,KBSTAR 200커뮤니케이션서비스,315480,
160,A316300,KINDEX 싱가포르리츠,316300,
161,A329200,TIGER 부동산인프라고배당,329200,
162,A243890,TIGER 200에너지화학레버리지,243890,
163,A243880,TIGER 200IT레버리지,243880,
164,A301410,ARIRANG 코스닥150선물인버스,301410,
165,A225040,TIGER 미국S&P500레버리지(합성 H),225040,
166,A27863K,스터디플래닛1우,27863K,
167,A281630,에잇퍼센트,281630,
168,A286340,짐브러스,286340,
169,A133690,TIGER 미국나스닥100,133690,
170,A305080,TIGER 미국채10년선물,305080,
171,A314250,KODEX 미국FANG플러스(H),314250,
172,A157500,TIGER 증권,157500,
173,A354240,KBSTAR 미국고정배당우선증권ICE TR,354240,
174,A352560,KODEX 다우존스미국리츠(H),352560,
175,A352540,KODEX TSE일본리츠(H),352540,
176,A321410,KODEX 멀티에셋하이인컴(H),321410,
177,A292150,TIGER TOP10,292150,
178,A276970,KODEX 미국S&P고배당커버드콜(합성 H),276970,
179,A275980,TIGER 글로벌4차산업혁신기술(합성 H),275980,
180,A266160,KBSTAR 고배당,266160,
181,A261140,TIGER 우선주,261140,
182,A251350,KODEX 선진국MSCI World,251350,
183,A248270,TIGER S&P글로벌헬스케어(합성),248270,
184,A245350,TIGER 유로스탁스배당30,245350,
185,A245340,TIGER 미국다우존스30,245340,
186,A210780,TIGER 코스피고배당,210780,
187,A148020,KBSTAR 200,148020,
188,A139280,TIGER 경기방어,139280,
189,A104530,KOSEF 고배당,104530,
190,A101280,KODEX 일본TOPIX100,101280,
191,A104520,KOSEF 블루칩,104520,
192,A139230,TIGER 200 중공업,139230,
193,A139240,TIGER 200 철강소재,139240,
194,A168580,KINDEX 중국본토CSI300,168580,
195,A174360,KBSTAR 중국본토대형주CSI100,174360,
196,A189400,ARIRANG 글로벌MSCI(합성 H),189400,
197,A192530,광주은행,192530,
198,A195920,TIGER 일본TOPIX(합성 H),195920,
199,A195970,ARIRANG 선진국MSCI(합성 H),195970,
200,A200020,KODEX 미국S&P IT(합성),200020,
201,A200030,KODEX 미국S&P산업재(합성),200030,
202,A200040,KODEX 미국S&P금융(합성),200040,
203,A200050,KODEX 독일MSCI(합성),200050,
204,A205720,KINDEX 일본TOPIX인버스(합성 H),205720,
205,A217790,TIGER 가격조정,217790,
206,A218420,KODEX 미국S&P에너지(합성),218420,
207,A223190,KODEX 200가치저변동,223190,
208,A225050,TIGER 유로스탁스레버리지(합성 H),225050,
209,A228810,TIGER 미디어컨텐츠,228810,
210,A238720,KINDEX 일본Nikkei225(H),238720,
211,A241180,TIGER 일본니케이225,241180,
212,A244620,KODEX 모멘텀Plus,244620,
213,A245360,TIGER 차이나HSCEI,245360,
214,A248260,TIGER 일본TOPIX헬스케어(합성),248260,
215,A251590,ARIRANG 고배당저변동50,251590,
216,A260200,KOSEF 배당바이백Plus,260200,
217,A261070,TIGER 코스닥150바이오테크,261070,
218,A266550,ARIRANG 중형주저변동50,266550,
219,A267440,KBSTAR 미국장기국채선물(H),267440,
220,A267450,KBSTAR 미국장기국채선물인버스(H),267450,
221,A269370,TIGER S&P글로벌인프라(합성),269370,
222,A269420,KODEX S&P글로벌인프라(합성),269420,
223,A269540,ARIRANG 미국S&P500(H),269540,
224,A270800,KBSTAR KQ고배당,270800,
225,A270810,KBSTAR 코스닥150,270810,
226,A271060,KODEX 3대농산물선물(H),271060,
227,A276650,KBSTAR 글로벌4차산업IT(합성 H),276650,
228,A276990,KODEX 글로벌4차산업로보틱스(합성),276990,
229,A277540,KINDEX S&P아시아TOP50,277540,
230,A277650,TIGER 코스피중형주,277650,
231,A279530,KODEX 고배당,279530,
232,A280320,KINDEX 미국IT인터넷S&P(합성 H),280320,
233,A283580,KODEX 중국본토CSI300,283580,
234,A284980,KBSTAR 200금융,284980,
235,A287180,ARIRANG 미국나스닥기술주,287180,
236,A291130,KINDEX 멕시코MSCI(합성),291130,
237,A291660,KODEX China H선물인버스(H),291660,
238,A291680,KBSTAR 차이나H선물인버스(H),291680,
239,A292050,KBSTAR KRX300,292050,
240,A304940,KODEX 미국나스닥100선물(H),304940,
241,A307020,KBSTAR KRX300선물인버스,307020,
242,A307620,TIGER KRX300선물인버스,307620,
243,A308620,KODEX 미국채10년선물,308620,
244,A329650,KODEX TRF3070,329650,
245,A329660,KODEX TRF5050,329660,
246,A004200,고려개발,004200,
247,A001799,대한제당3우B,001799,
248,A232080,TIGER 코스닥150,232080,
249,A337120,KODEX Fn멀티팩터,337120,
250,A139270,TIGER 200 금융,139270,
251,A292750,ARIRANG KRX300,292750,
252,A228800,TIGER 여행레저,228800,
253,A250730,KBSTAR 차이나HSCEI(H),250730,
254,A334690,KBSTAR 팔라듐선물(H),334690,
255,A300610,TIGER K게임,300610,
256,A278240,KBSTAR 코스닥150선물레버리지,278240,
257,A225060,TIGER 이머징마켓MSCI레버리지(합성 H),225060,
258,A334700,KBSTAR 팔라듐선물인버스(H),334700,
259,A102780,KODEX 삼성그룹,102780,
260,A011160,두산건설,011160,
261,A152100,ARIRANG 200,152100,
262,A315930,KODEX Top5PlusTR,315930,
263,A272560,KBSTAR 단기국공채액티브,272560,
264,A310970,TIGER MSCI Korea TR,310970,
265,A276960,씨드아이글로벌,276960,
266,A225130,KINDEX 골드선물 레버리지(합성 H),225130,
267,A228820,TIGER KTOP30,228820,
268,A256450,ARIRANG 심천차이넥스트(합성),256450,
269,A279410,한화에이스스팩4호,279410,
270,A360200,KINDEX 미국S&P500,360200,
271,A367380,KINDEX 미국나스닥100,367380,
272,A253230,KOSEF 200선물인버스2X,253230,
273,A364960,TIGER KRX BBIG K-뉴딜,364960,
274,A213610,KODEX 삼성그룹밸류,213610,
275,A169830,네이처리퍼블릭,169830,
276,A139250,TIGER 200 에너지화학,139250,
277,A091180,KODEX 자동차,091180,
278,A280930,KODEX 미국러셀2000(H),280930,
279,A249680,메디오젠,249680,
280,A008000,도레이케미칼,008000,
281,A150460,TIGER 중국소비테마,150460,
282,A138530,TIGER LG그룹+펀더멘털,138530,
283,A265920,한화수성스팩,265920,
284,A291620,KOSEF 코스닥150선물인버스,291620,
285,A117680,KODEX 철강,117680,
286,A253150,ARIRANG 200선물레버리지,253150,
287,A332500,KINDEX 200TR,332500,
288,A300640,KBSTAR 게임테마,300640,
289,A360750,TIGER 미국S&P500,360750,
290,A091230,TIGER 반도체,091230,
291,A277480,신한제4호스팩,277480,
292,A252410,KBSTAR 200선물인버스,252410,
293,A306950,KODEX KRX300레버리지,306950,
294,A364970,TIGER KRX바이오K-뉴딜,364970,
295,A002005,생고뱅코리아홀딩스1우,002005,
296,A337140,KODEX 코스피대형주,337140,
297,A325020,KODEX 배당가치,325020,
298,A325010,KODEX Fn성장,325010,
299,A266410,KODEX 필수소비재,266410,
300,A266390,KODEX 경기소비재,266390,
301,A091220,TIGER 은행,091220,
302,A307010,KBSTAR KRX300레버리지,307010,
303,A275750,KBSTAR 코스닥150선물인버스,275750,
304,A004989,성신양회3우B,004989,
305,A306960,KODEX KRX300선물인버스,306960,
306,A140570,KBSTAR 수출주,140570,
307,A105780,KBSTAR 5대그룹주,105780,
308,A333960,ARIRANG KS모멘텀가중TR,333960,
309,A273130,KODEX 종합채권(AA-이상)액티브,273130,
310,A122230,오코스모스,122230,
311,A269530,ARIRANG S&P글로벌인프라,269530,
312,A277290,현대에스티앤피,277290,
313,A302450,KBSTAR 코스피,302450,
314,A100910,KOSEF KRX100,100910,
315,A143850,TIGER 미국S&P500선물(H),143850,
316,A220130,SOL 중국본토 중소형 CSI500(합성 H),220130,
317,A304670,KODEX 미국채울트라30년선물인버스(H),304670,
318,A196030,KINDEX 일본TOPIX레버리지(H),196030,
319,A304660,KODEX 미국채울트라30년선물(H),304660,
320,A364690,KODEX 혁신기술테마액티브,364690,
321,A196220,KBSTAR 일본TOPIX레버리지(H),196220,
322,A295860,ARIRANG 200모멘텀,295860,
323,A306530,HANARO 코스닥150선물레버리지,306530,
324,A322150,KINDEX 스마트하이베타,322150,
325,A322130,KINDEX 스마트로우볼,322130,
326,A322120,KINDEX 스마트퀄리티,322120,
327,A309210,ARIRANG KRX300헬스케어,309210,
328,A300310,KBSTAR KQ모멘텀밸류,300310,
329,A300300,KBSTAR KQ모멘텀로우볼,300300,
330,A300290,KBSTAR 중소형모멘텀밸류,300290,
331,A300280,KBSTAR 중소형모멘텀로우볼,300280,
332,A298770,KODEX 한국대만IT프리미어,298770,
333,A281990,KBSTAR 중소형고배당,281990,
334,A272230,KINDEX 스마트밸류,272230,
335,A272220,KINDEX 스마트모멘텀,272220,
336,A261060,TIGER 코스닥150IT,261060,
337,A260270,KOSEF 저PBR가중,260270,
338,A252730,KBSTAR 모멘텀로우볼,252730,
339,A252720,KBSTAR 모멘텀밸류,252720,
340,A247800,KODEX 턴어라운드투자,247800,
341,A247790,KODEX 성장투자,247790,
342,A247780,KODEX 가치투자,247780,
343,A244820,ARIRANG 스마트베타4종결합,244820,
344,A244670,KODEX 밸류Plus,244670,
345,A244660,KODEX 퀄리티Plus,244660,
346,A236460,ARIRANG 스마트베타 LowVOL,236460,
347,A234310,KBSTAR V&S셀렉트밸류,234310,
348,A227570,TIGER 우량가치,227570,
349,A222190,ARIRANG 스마트베타 Momentum,222190,
350,A222180,ARIRANG 스마트베타 Value,222180,
351,A174350,TIGER 로우볼,174350,
352,A170350,TIGER 베타플러스,170350,
353,A147970,TIGER 모멘텀,147970,
354,A272810,펀진,272810,
355,A368680,KODEX Fn K-뉴딜디지털플러스,368680,
356,A264290,한화에이스스팩3호,264290,
357,A267490,KBSTAR 미국장기국채선물레버리지(합성 H),267490,
358,A259070,제이에스테크,259070,
359,A140710,KODEX 운송,140710,
360,A244310,세미스트,244310,
361,A304720,에어필립,304720,
362,A298130,옥천당,298130,
363,A289190,제이시스메디칼,289190,
364,A287330,KBSTAR 200생활소비재,287330,
365,A139290,TIGER 200 경기소비재,139290,
366,A277490,파워리퍼블릭,277490,
367,A252400,KBSTAR 200선물레버리지,252400,
368,A204420,ARIRANG 차이나H 레버리지(합성 H),204420,
369,A253250,KOSEF 200선물레버리지,253250,
370,A276920,IBKS제7호스팩,276920,
371,A322410,HANARO 고배당,322410,
372,A153270,KOSEF 코스피100,153270,
373,A368590,KBSTAR 미국나스닥100,368590,
374,A004135,대덕GDS우,004135,
375,A340750,씨엘바이오,340750,
376,A336730,비욘드바이오,336730,
377,A334970,프레스티지바이오로직스,334970,
378,A316320,메티메디제약,316320,
379,A314080,이노핀,314080,
380,A312800,퓨젠바이오,312800,
381,A300500,에이디엠,300500,
382,A299760,더코더,299760,
383,A266530,체크페이먼트,266530,
384,A259210,글람,259210,
385,A258890,미라셀,258890,
386,A244290,이루모,244290,
387,A239280,필로시스,239280,
388,A234820,레온,234820,
389,A142220,이씨스,142220,
390,A170190,노바셀테크놀로지,170190,
391,A177850,무한비트,177850,
392,A194530,엔에스스튜디오,194530,
393,A139220,TIGER 200 건설,139220,
394,A208470,SOL 선진국MSCI World(합성 H),208470,
395,A301400,ARIRANG 코스닥150,301400,
396,A227560,TIGER 200 생활소비재,227560,
397,A291890,KODEX MSCI EM선물(H),291890,
398,A277630,TIGER 코스피,277630,
399,A371470,TIGER 차이나바이오테크SOLACTIVE,371470,
400,A367770,KBSTAR Fn수소경제테마,367770,
401,A290130,KBSTAR ESG사회책임투자,290130,
402,A368190,HANARO Fn K-뉴딜디지털플러스,368190,
403,A322400,HANARO e커머스,322400,
404,A365000,TIGER KRX인터넷K-뉴딜,365000,
405,A229720,KODEX KTOP30,229720,
406,A138540,TIGER 현대차그룹+펀더멘털,138540,
407,A240540,한국4호스팩,240540,
408,A285880,아이디티월드,285880,
409,A262830,대신밸런스제4호스팩,262830,
410,A371870,KINDEX 차이나항셍테크,371870,
411,A064400,엘지씨엔에스,064400,
412,A122090,ARIRANG 코스피50,122090,
413,A285020,KBSTAR 200철강소재,285020,
414,A266140,TIGER 지속배당,266140,
415,A213630,ARIRANG 미국다우존스고배당주(합성 H),213630,
416,A098560,TIGER 방송통신,098560,
417,A314700,HANARO 농업융복합산업,314700,
418,A341850,TIGER KIS부동산인프라채권TR,341850,
419,A296710,KODEX FnKorea50,296710,
420,A248070,솔루엠,248070,
421,A267500,KBSTAR 미국장기국채선물인버스2X(합성 H),267500,
422,A291630,KOSEF 코스닥150선물레버리지,291630,
423,A263190,ARIRANG 단기우량채권,263190,
424,A371160,TIGER 차이나항셍테크,371160,
425,A367760,KBSTAR Fn5G테크,367760,
426,A106870,엔쓰리엔,106870,
427,A227830,ARIRANG 코스피,227830,
428,A304780,HANARO 200선물레버리지,304780,
429,A364990,TIGER KRX게임K-뉴딜,364990,
430,A226980,KODEX 200 중소형,226980,
431,A284990,KBSTAR 200에너지화학,284990,
432,A309230,KINDEX 미국WideMoat가치주,309230,
433,A278420,ARIRANG ESG우수기업,278420,
434,A238670,ARIRANG 스마트베타Quality채권혼합,238670,
435,A192720,파워 고배당저변동성,192720,
436,A283930,KBSTAR 지주회사,283930,
437,A251890,KINDEX 코스닥(합성),251890,
438,A337160,KODEX 200ESG,337160,
439,A289040,KODEX MSCI KOREA ESG유니버설,289040,
440,A307520,TIGER 지주회사,307520,
441,A372330,KODEX 차이나항셍테크,372330,
442,A253240,KOSEF 200선물인버스,253240,
443,A108450,KINDEX 삼성그룹섹터가중,108450,
444,A367740,HANARO Fn5G산업,367740,
445,A354350,HANARO 글로벌럭셔리S&P(합성),354350,
446,A328370,ARIRANG 코스피TR,328370,
447,A370310,플러스앤파트너스,370310,
448,A267300,TIGER 코스닥150로우볼,267300,
449,A078510,한국유로핀즈분석서비스,078510,
450,A368200,KBSTAR Fn K-뉴딜디지털플러스,368200,
451,A277640,TIGER 코스피대형주,277640,
452,A354500,KINDEX 코스닥150,354500,
453,A211560,TIGER 배당성장,211560,
454,A292100,TIGER 대형성장,292100,
455,A156080,KODEX MSCI Korea,156080,
456,A275290,KODEX MSCI밸류,275290,
457,A329750,TIGER 미국달러단기채권액티브,329750,
458,A316670,KOSEF 코스닥150,316670,
459,A371460,TIGER 차이나전기차SOLACTIVE,371460,
460,A152280,KOSEF 200 선물,152280,
461,A011720,현대페인트,011720,
462,A219960,유안타제2호스팩,219960,
463,A074150,엠제이비,074150,
