index,SEND_SPG_INNB,REC_SPG_INNB,DL_GD_LCLS_NM,DL_GD_MCLS_NM,INVC_CONT
37,4148000687085300,5011000320046200,여행/문화,문화컨텐츠,3
38,4148000690015300,5011000313055100,여행/문화,문화컨텐츠,4
39,4148000690015300,5011000315056400,여행/문화,문화컨텐츠,6
40,4148000690015300,5011000372078400,여행/문화,문화컨텐츠,3
41,4148000690015300,5011000373087100,여행/문화,문화컨텐츠,4
42,4148000690015300,5011000374007300,여행/문화,문화컨텐츠,3
43,4148000690015300,5011000429025200,여행/문화,문화컨텐츠,3
44,4148000690015300,5011000468027200,여행/문화,문화컨텐츠,3
45,4148000690015300,5013000033086400,여행/문화,문화컨텐츠,3
46,4148000690043300,5013000782086200,여행/문화,문화컨텐츠,3
47,4148000690043300,5013000861018300,여행/문화,문화컨텐츠,5
48,4148000690047300,5011000215046200,여행/문화,문화컨텐츠,3
49,4148000699072200,5011000173084300,여행/문화,문화컨텐츠,3
50,4148000699072200,5013000579068300,생활/건강,음반,4
51,4148000699072200,5013000827069300,생활/건강,음반,4
52,4150000199100200,5011000374081200,식품,음료,3
53,4150000222021400,5013000867082300,생활/건강,반려동물,3
54,4150000241045200,5011000220001300,식품,건강식품,3
55,4150000241045200,5011000317069300,식품,건강식품,3
56,4150000241065200,5011000173078300,식품,건강식품,3
57,4157000181036300,5011000630089100,식품,농산물,10
58,4157000181058400,5011000313040300,생활/건강,주방용품,3
59,4157000306018300,5011000319097300,식품,가공식품,4
60,4157000306018300,5011000851091400,식품,가공식품,4
61,4159000429094300,5011000212019200,식품,건강식품,4
62,4159000429094300,5011000375049400,식품,냉동/간편조리식품,3
63,4159000429094300,5011000721034300,식품,음료,6
64,4159000429094300,5013000171011300,식품,건강식품,3
65,4159000429094300,5013000901012200,생활/건강,반려동물,4
66,4161000144040200,5011000168095300,식품,건강식품,17
67,4161000169095300,5011000374011400,생활/건강,건강용품,130
68,4163000152020400,5011000104087300,식품,기타식품,3
69,4165000539090300,5013000608078400,식품,기타식품,5
70,4165000546003200,5011000368010200,생활/건강,생활용품,3
71,4213000356075200,5011000266021300,식품,냉동/간편조리식품,3
72,4282000473033400,5011000521003200,식품,음료,5
73,4311100012003100,5011000168086300,식품,음료,6
74,4313000673068100,5011000374002100,생활/건강,반려동물,3
75,4377000156071300,5011000265088200,여행/문화,문화컨텐츠,5
76,4427000366060200,5011000314016200,식품,건강식품,3
77,4427000366060200,5011000374048100,식품,건강식품,3
78,4514000422077100,5011000469018100,식품,수산,14
79,4688000489062100,5011000373029200,생활/건강,건강용품,35
80,4812500221035100,5011000532018400,식품,과자,6
81,4825000400012100,5011000318043200,생활/건강,주방용품,5
82,5011000078067300,2826000008041300,식품,수산,6
83,5011000078068400,1123000014015100,식품,농산물,3
84,5011000078068400,1147000007073300,식품,농산물,3
85,5011000078068400,1150000022009400,식품,농산물,3
86,5011000078068400,1156000026072400,식품,농산물,16
87,5011000078068400,2617000008051100,식품,농산물,4
88,5011000078068400,2647000006047100,식품,농산물,5
89,5011000078068400,2726000006026300,식품,농산물,4
90,5011000078068400,2729000039042100,식품,농산물,3
91,5011000078068400,2818500032002100,식품,농산물,7
92,5011000078068400,2824500032099200,식품,농산물,3
93,5011000078068400,2826000138006300,식품,농산물,3
94,5011000078068400,2920000123025300,식품,농산물,3
95,5011000078068400,3117000028088200,식품,농산물,3
96,5011000078068400,4111100019069300,식품,농산물,3
97,5011000078068400,4119500012052300,식품,농산물,3
98,5011000078068400,4121000030069100,식품,농산물,3
99,5011000078068400,4128100089029200,식품,농산물,3
100,5011000078068400,4131000014024200,식품,농산물,3
101,5011000078068400,4136000278066200,식품,농산물,3
102,5011000078068400,4137000033005300,식품,농산물,4
103,5011000078068400,4139000035074100,식품,농산물,3
104,5011000078068400,4146100309038100,식품,농산물,6
105,5011000078068400,4148000607099100,식품,농산물,3
106,5011000078068400,4148000669085100,식품,농산물,3
107,5011000078068400,4148000696066100,식품,농산물,4
108,5011000078068400,4150000099064400,식품,농산물,3
109,5011000078068400,4155000387055100,식품,농산물,4
110,5011000078068400,4159000146021100,식품,농산물,3
111,5011000078068400,4413100123049100,식품,농산물,3
112,5011000078068400,4413100174034300,식품,농산물,7
113,5011000078068400,4511300049098400,식품,농산물,3
114,5011000078068400,4615000630061100,식품,농산물,3
115,5011000078068400,4687000302012400,식품,농산물,4
116,5011000078068400,4713000504025300,식품,농산물,3
117,5011000078068400,4812300018051400,식품,농산물,3
118,5011000078068400,4812900018098300,식품,농산물,4
119,5011000078068400,4812900035073100,식품,농산물,3
120,5011000108092100,2729000039053300,식품,농산물,3
121,5011000137023400,4311100034091200,식품,가공식품,3
122,5011000137030100,1144000022021200,식품,농산물,3
123,5011000137030100,2820000013046400,식품,농산물,4
124,5011000137030100,2920000090086300,식품,농산물,3
125,5011000137030100,4111300016067200,식품,농산물,3
126,5011000137030100,4119900010037400,식품,농산물,3
127,5011000137030100,4127100036078300,식품,농산물,3
128,5011000137030100,4128100123026200,식품,농산물,3
129,5011000137030100,4145000014022100,식품,농산물,3
130,5011000137030100,4146100137049200,식품,농산물,3
131,5011000137030100,4223000039042200,식품,농산물,4
132,5011000137030100,4684000253083400,식품,농산물,8
133,5011000137030100,4825000112070300,식품,농산물,3
134,5011000141080300,4131000004041100,식품,과자,22
135,5011000168080300,4719000606025400,식품,수산,7
136,5011000212018400,4513000385065100,식품,음료,13
137,5011000213090100,1126000004046400,식품,농산물,6
138,5011000213090100,4115000021034400,식품,농산물,4
139,5011000217060200,3114000004059100,식품,축산,3
140,5011000224036300,4128700036056300,식품,농산물,3
141,5011000226090200,4728000807004400,식품,농산물,4
142,5011000228004400,4117300017043200,식품,가공식품,10
143,5011000259006100,4122000302057300,식품,수산,3
144,5011000263038300,4146100140078200,식품,기타식품,4
145,5011000263078100,4141000005097100,식품,냉동/간편조리식품,4
146,5011000265076200,4623000420063400,식품,냉동/간편조리식품,3
147,5011000271059100,4782000374074100,식품,기타식품,5
148,5011000272063400,1150000030006100,식품,농산물,3
149,5011000309091300,4111100031070200,식품,기타식품,3
150,5011000312072100,4119900012024400,식품,가공식품,4
151,5011000312075100,4822000180010100,식품,농산물,3
152,5011000314061400,4613000286007300,식품,농산물,3
153,5011000315056100,1130500018029200,식품,농산물,3
154,5011000315085200,1162000007039300,패션의류,기타패션의류,7
155,5011000316024300,4161000164059400,식품,수산,3
156,5011000316024300,4511300049087300,식품,수산,3
157,5011000316024300,4514000335082200,식품,수산,5
158,5011000319046400,2635000026058300,식품,농산물,33
159,5011000320046200,4211000681059400,패션의류,기타패션의류,3
160,5011000328008200,4427000512014400,식품,농산물,4
161,5011000349021200,4514000399018100,식품,수산,6
162,5011000373058300,4615000790058400,식품,건강식품,36
163,5011000375010100,1111000023081100,식품,음료,4
164,5011000375010100,2720000004038400,식품,농산물,3
165,5011000375010100,4165000316047300,식품,음료,3
166,5011000379006400,4679000245078200,식품,농산물,3
167,5011000384015100,4514000439080100,식품,농산물,4
168,5011000422093300,1120000005093200,식품,과자,4
169,5011000422097100,1162000003070400,식품,농산물,3
170,5011000424031100,4420000384050100,식품,농산물,3
171,5011000424078200,1159000008085300,식품,농산물,4
172,5011000424078200,1168000034056200,식품,농산물,3
173,5011000424078200,1174000011055200,식품,농산물,5
174,5011000424078200,2871000241042100,식품,음료,3
175,5011000424078200,4136000359058100,식품,농산물,3
176,5011000435024200,1117000012058200,생활/건강,문구/사무용품,4
177,5011000437099200,1138000022066200,식품,농산물,3
178,5011000437099200,1150000022038100,식품,농산물,3
179,5011000437099200,1165000003074300,식품,농산물,3
180,5011000437099200,2824500037074400,식품,농산물,4
181,5011000437099200,4783000023063400,식품,농산물,3
182,5011000437099200,4817000451081400,식품,농산물,3
183,5011000444042200,4146500036020300,식품,음료,6
184,5011000486060300,2826000138078100,식품,음료,3
185,5011000486060300,4719000588098400,식품,음료,3
186,5011000525070400,4413300131098100,식품,농산물,6
187,5011000535028300,4115000035082100,식품,농산물,3
188,5011000535028300,4713000548065400,식품,농산물,17
189,5011000543038400,4421000473036200,식품,농산물,4
190,5011000579087200,1165000017022200,식품,농산물,9
191,5011000595017300,1114000001033400,생활/건강,음반,4
192,5011000595017300,1117000001065300,생활/건강,음반,3
193,5011000595017300,1174000006053300,생활/건강,음반,3
194,5011000595017300,2720000007079100,생활/건강,음반,3
195,5011000595017300,3114000004059300,생활/건강,음반,3
196,5011000595017300,4113500021058400,생활/건강,음반,3
197,5011000595017300,4115000044027200,생활/건강,음반,4
198,5011000595017300,5011000314041100,생활/건강,음반,3
199,5011000685067100,4113500035063400,식품,농산물,3
200,5011000685067100,4163000217096400,식품,농산물,4
201,5011000685067100,4427000388097100,식품,농산물,3
202,5011000767075300,2729000007038300,식품,축산,25
203,5011000768043200,4315000287008100,식품,기타식품,5
204,5011000814048300,3017000034078100,식품,농산물,3
205,5011000971090100,4159000470032100,식품,농산물,3
206,5011000974075400,3023000049003300,식품,농산물,3
207,5011001001068200,4129000001059100,식품,농산물,3
208,5011001001086200,1144000017059100,식품,농산물,6
209,5011001027008200,4480000135065100,식품,농산물,5
210,5011001027035300,2714000037060300,식품,음료,8
211,5011001052097100,2647000005060400,식품,농산물,5
212,5011001054058100,1132000013013100,식품,농산물,12
213,5011001054058100,4146500019044300,식품,농산물,3
214,5011001054058100,4825000316054200,식품,농산물,4
215,5011001076050400,1159000003028300,식품,음료,3
216,5011001076050400,4812900052049300,식품,음료,3
217,5011001116066400,2823700015092200,식품,농산물,3
218,5011001128032200,4182000412049300,식품,농산물,4
219,5013000043028400,2824500047033400,식품,농산물,10
220,5013000043028400,4115000044011400,식품,농산물,3
221,5013000056011100,2824500033083400,식품,기타식품,3
222,5013000205030200,1159000010100300,식품,농산물,5
223,5013000232095200,4122000127021300,식품,농산물,4
224,5013000234009200,2647000007081100,식품,농산물,6
225,5013000273029400,1129000006030300,식품,농산물,3
226,5013000354052200,4159000260062300,식품,농산물,5
227,5013000354052200,4812900018022200,식품,농산물,4
228,5013000507058200,1129000017007200,식품,농산물,5
229,5013000511011200,4127100019035300,식품,농산물,5
230,5013000581065400,2723000046047300,생활/건강,생활용품,4
231,5013000610049100,1121500003066200,식품,농산물,3
232,5013000610049100,1129000020011100,식품,농산물,3
233,5013000610049100,1144000020043100,식품,농산물,3
234,5013000610049100,1171000008027200,식품,농산물,3
235,5013000610049100,2635000054069300,식품,농산물,3
236,5013000610049100,2635000062029200,식품,농산물,3
237,5013000610049100,2917000084034200,식품,농산물,10
238,5013000610049100,3117000034010400,식품,농산물,4
239,5013000610049100,3120000175007300,식품,농산물,4
240,5013000610049100,4113500056009300,식품,농산물,3
241,5013000610049100,4113500057036400,식품,농산물,3
242,5013000610049100,4113500063079100,식품,농산물,3
243,5013000610049100,4115000028043200,식품,농산물,3
244,5013000610049100,4128100125002100,식품,농산물,3
245,5013000610049100,4511100014054200,식품,농산물,3
246,5013000610049100,4514000399086400,식품,농산물,3
247,5013000617099100,4155000488032400,식품,농산물,5
248,5013000622057100,2917000082068300,식품,농산물,4
249,5013000622057100,3120000055014400,식품,농산물,3
250,5013000622057100,4119500010021300,식품,농산물,3
251,5013000630080100,4413100229053200,식품,농산물,5
252,5013000691060200,1141000006044200,식품,농산물,3
253,5013000731055200,1114000002043400,식품,농산물,3
254,5013000731055200,1141000008074200,식품,농산물,3
255,5013000731055200,1162000011020300,식품,농산물,3
256,5013000731055200,1171000017070100,식품,농산물,3
257,5013000731055200,2818500015081300,식품,농산물,3
258,5013000731055200,2826000065009400,식품,농산물,7
259,5013000731055200,4119500013053300,식품,농산물,7
260,5013000731055200,4128100130077400,식품,농산물,3
261,5013000731055200,4313000637073100,식품,농산물,4
262,5013000731055200,4423000195100200,식품,농산물,3
263,5013000731055200,4480000166071400,식품,농산물,4
264,5013000731055200,4812900036001400,식품,농산물,3
265,5013000731055200,4889000901083100,식품,농산물,3
266,5013000733024100,2717000006040100,식품,농산물,4
267,5013000733024100,4157000260038100,식품,농산물,3
268,5013000734059300,4148000685070300,식품,농산물,3
269,5013000734063300,4221000015010100,식품,농산물,3
270,5013000734077100,1147000019078400,식품,농산물,3
271,5013000735001200,4128100115035300,식품,농산물,3
272,5013000735001200,4833000469014200,식품,농산물,8
273,5013000735004100,3017000020016200,식품,농산물,4
274,5013000735022300,4111500009054300,식품,농산물,3
275,5013000735022300,4513000190032400,식품,농산물,3
276,5013000735022300,4822000241051400,식품,농산물,16
277,5013000765096400,1129000020066300,식품,농산물,3
278,5013000765096400,2647000011029300,식품,농산물,3
279,5013000765096400,4111300016078100,식품,농산물,5
280,5013000777063100,1123000005016400,식품,농산물,7
281,5013000777063100,1156000016014200,식품,농산물,7
282,5013000777063100,4127300055022100,식품,농산물,4
283,5013000777063100,4413100198025300,식품,농산물,3
284,5013000778073200,2818500029014300,식품,농산물,5
285,5013000778073200,4313000706018200,식품,농산물,3
286,5013000780043400,2723000091093200,식품,농산물,4
287,5013000802063100,1132000005089200,식품,음료,3
288,5013000803023100,3117000028077300,식품,농산물,3
289,5013000814013400,1150000037096200,식품,농산물,4
290,5013000818021200,4143000047018100,식품,과자,4
291,5013000818021200,4380000468003100,식품,농산물,10
292,5013000821028200,1153000007042400,식품,농산물,4
293,5013000821028200,1168000014085100,식품,농산물,3
294,5013000821028200,1171000017014200,식품,농산물,3
295,5013000821028200,4115000025081200,식품,농산물,3
296,5013000821028200,4121000007016400,식품,농산물,4
297,5013000821028200,4146500024023200,식품,농산물,3
298,5013000821028200,4420000337012200,식품,농산물,4
299,5013000821028200,4812100182006300,식품,농산물,3
300,5013000828084200,4157000262052300,식품,농산물,3
301,5013000845056400,3611000339064200,식품,농산물,7
302,5013000854017300,3011000132036300,식품,농산물,10
303,5013000854018300,1141000016020100,식품,농산물,5
304,5013000855029100,2635000015055100,식품,농산물,3
305,5013000858004400,1123000013085300,식품,농산물,5
306,5013000862062200,5011000316034100,식품,농산물,4
307,5013000866043100,4131000016069300,식품,농산물,3
308,5013000868045300,4413300061100100,식품,농산물,4
309,5013000871011100,2644000002011100,식품,농산물,7
310,5013000902003200,4117100012048200,식품,농산물,7
311,5013000902065100,4150000415001400,식품,농산물,6
312,5013000902096100,4128700035099200,식품,농산물,3
313,5013000909069100,2629000019076300,식품,농산물,3
314,1117000009037100,5011000379038100,디지털/가전,기타디지털/가전,3
315,1117000009037100,5013000862016200,디지털/가전,기타디지털/가전,9
316,1117000009063400,5011000213070100,생활/건강,문구/사무용품,4
317,1129000014045300,5011000373044200,생활/건강,생활용품,3
318,1135000009051200,5011000168088400,생활/건강,반려동물,8
319,1153000017005200,5013000776083300,식품,건강식품,5
320,1159000003091200,5013000366029200,패션의류,기타패션의류,3
321,1165000014091200,5013000033026400,식품,가공식품,5
322,2723000088054300,5011000166099200,식품,과자,4
323,2723000088054300,5011000315051300,식품,가공식품,5
324,2723000088054300,5013000854097100,식품,가공식품,3
325,2771000040094200,5011000264089100,식품,농산물,3
326,3020000136074100,5013000823055300,식품,과자,3
327,3171000094054200,5011000258030100,식품,건강식품,6
328,4111100031040300,5011000078068400,식품,농산물,3
329,4111700023090400,5011000372017100,여행/문화,문화컨텐츠,5
330,4122000053068300,5011000435052300,생활/건강,건강용품,4
331,4122000119044300,5011000315042300,식품,가공식품,3
332,4122000363057300,5013000635005300,식품,가공식품,3
333,4128500055065300,5011000378022400,화장품/미용,스킨케어,3
334,4128700002094200,5013000926070400,생활/건강,주방용품,10
335,4128700005019100,5013000634079200,여행/문화,문화컨텐츠,3
336,4136000040079200,5011000174062100,생활/건강,반려동물,4
337,4136000164090300,5011000264014400,생활/건강,생활용품,3
338,4136000216029100,5011000373079200,생활/건강,반려동물,3
339,4136000216029100,5011000501070400,생활/건강,반려동물,6
340,4141000031009400,5011000375005200,식품,가공식품,4
341,4141000031009400,5013000863041400,식품,가공식품,3
342,4141000031030100,5011000215036300,화장품/미용,스킨케어,3
343,4141000031030100,5011000265007300,패션의류,상의,4
344,4141000031030100,5013000780016200,식품,건강식품,3
345,4146100146003300,5011000113021100,생활/건강,문구/사무용품,10
346,4146100164039300,5013000910012400,화장품/미용,스킨케어,3
347,4146100353012300,5011000531002100,식품,냉동/간편조리식품,4
348,4148000690015300,5011000173072300,여행/문화,문화컨텐츠,6
349,4148000690015300,5011000263066100,여행/문화,문화컨텐츠,3
350,4148000690015300,5011000375088300,여행/문화,문화컨텐츠,3
351,4148000690015300,5011000429019400,여행/문화,문화컨텐츠,6
352,4148000690015300,5011000480008100,여행/문화,문화컨텐츠,3
353,4148000690015300,5013000467048100,여행/문화,문화컨텐츠,6
354,4148000690015300,5013000823057300,여행/문화,문화컨텐츠,4
355,4148000690043300,5011000173051400,여행/문화,문화컨텐츠,3
356,4148000690043300,5011000318022100,여행/문화,문화컨텐츠,12
357,4148000699072200,5011000263014300,생활/건강,음반,4
358,4148000699072200,5013000014024200,생활/건강,음반,3
359,4150000039100400,5011000315087400,생활/건강,생활용품,4
360,4150000201062200,5011000319005100,식품,건강식품,3
361,4150000222021400,5011000373042300,생활/건강,반려동물,4
362,4150000241065200,5013000821006200,식품,건강식품,5
363,4157000161020400,5013000571058300,생활/건강,주방용품,13
364,4157000306018300,5011000435071100,식품,농산물,12
365,4159000429094300,5011000112022300,식품,건강식품,5
366,4159000429094300,5011000112059400,식품,냉동/간편조리식품,3
367,4159000429094300,5011000173089400,식품,가공식품,4
368,4159000429094300,5011000173096200,식품,농산물,4
369,4159000429094300,5011000262060100,식품,음료,4
370,4159000429094300,5011000543041100,식품,냉동/간편조리식품,5
371,4161000335040400,5011000434049300,식품,냉동/간편조리식품,4
372,4161000362029200,5013000751033400,생활/건강,주방용품,3
373,4282000473033400,5011000309047400,식품,음료,3
374,4311300075041400,5013000897070400,생활/건강,주방용품,4
375,4376000055095100,5013000863096300,식품,농산물,3
376,4420000312011100,5011000422014200,생활/건강,반려동물,3
377,4579000177091200,5011000429017100,식품,축산,3
378,4711300705025100,5013000640002400,식품,과자,4
379,5011000078067300,4514000400099100,식품,수산,3
380,5011000078068400,1126000011013400,식품,농산물,3
381,5011000078068400,1129000010037300,식품,농산물,3
382,5011000078068400,1130500022046400,식품,농산물,3
383,5011000078068400,1132000012072400,식품,농산물,4
384,5011000078068400,1150000014076400,식품,농산물,4
385,5011000078068400,1165000005100100,식품,농산물,3
386,5011000078068400,2626000012041200,식품,농산물,3
387,5011000078068400,2635000046088400,식품,농산물,4
388,5011000078068400,2635000059017200,식품,농산물,5
389,5011000078068400,2653000003090300,식품,농산물,5
390,5011000078068400,2711000004069200,식품,농산물,3
391,5011000078068400,2818500016035100,식품,농산물,3
392,5011000078068400,2820000033016200,식품,농산물,3
393,5011000078068400,2823700016019100,식품,농산물,3
394,5011000078068400,2826000026042200,식품,농산물,4
395,5011000078068400,3020000120030400,식품,농산물,3
396,5011000078068400,3611000298018400,식품,농산물,3
397,5011000078068400,4113500023011300,식품,농산물,3
398,5011000078068400,4137000042045400,식품,농산물,3
399,5011000078068400,4141000002038100,식품,농산물,3
400,5011000078068400,4146100139069400,식품,농산물,4
401,5011000078068400,4146100148066200,식품,농산물,3
402,5011000078068400,4159000302087300,식품,농산물,3
403,5011000078068400,4311300030024300,식품,농산물,6
404,5011000078068400,4413300181085300,식품,농산물,3
405,5011000078068400,4423000254052400,식품,농산물,3
406,5011000078068400,4511300103021400,식품,농산물,5
407,5011000078068400,4611000047015200,식품,농산물,4
408,5011000078068400,4613000343006100,식품,농산물,3
409,5011000078068400,4713000329070300,식품,농산물,4
410,5011000082053300,2726000037011200,식품,농산물,11
411,5011000117002300,4211000650090400,식품,건강식품,3
412,5011000137030100,1121500013068300,식품,농산물,3
413,5011000137030100,2623000016023300,식품,농산물,3
414,5011000137030100,2635000046039200,식품,농산물,3
415,5011000137030100,2641000059024200,식품,농산물,7
416,5011000137030100,2818500016032200,식품,농산물,4
417,5011000137030100,2823700014009400,식품,농산물,3
418,5011000137030100,4121000003078300,식품,농산물,3
419,5011000137030100,4121000008089400,식품,농산물,3
420,5011000137030100,4146300030071100,식품,농산물,3
421,5011000137030100,4159000299040200,식품,농산물,3
422,5011000137030100,4375000127005100,식품,농산물,3
423,5011000137030100,4673000206044200,식품,농산물,3
424,5011000168088200,4183000308040400,식품,수산,3
425,5011000168088200,4481000163085300,식품,수산,8
426,5011000169073300,4113300022073300,식품,농산물,3
427,5011000178007200,4159000258054300,식품,농산물,3
428,5011000183026200,4113500002013300,식품,농산물,7
429,5011000199044400,1123000013046400,식품,농산물,3
430,5011000199044400,2629000009011100,식품,농산물,3
431,5011000199044400,4136000298071300,식품,농산물,4
432,5011000212045400,4136000059005200,식품,음료,3
433,5011000213090100,4146500033037200,식품,농산물,3
434,5011000213090100,4273000920080400,식품,농산물,4
435,5011000213090100,4817000525012200,식품,농산물,3
436,5011000220031300,4728000463071100,식품,농산물,3
437,5011000220031300,4775000718068300,식품,농산물,5
438,5011000231054300,2623000016043200,식품,건강식품,7
439,5011000265076200,4377000444064300,식품,농산물,3
440,5011000265076200,4521000302088100,식품,농산물,9
441,5011000265077200,1162000012070200,식품,축산,11
442,5011000270063300,4127300055032300,식품,농산물,3
443,5011000272054400,1141000010003200,식품,농산물,8
444,5011000315037400,3017000007047400,식품,음료,4
445,5011000316024300,4215000315098300,식품,수산,3
446,5011000316024300,4313000639029100,식품,수산,11
447,5011000321079100,1171000008062200,식품,농산물,4
448,5011000373003200,4812300017046400,식품,농산물,3
449,5011000373036200,4157000313018200,식품,음료,14
450,5011000373048200,4113100006031100,식품,가공식품,4
451,5011000374034200,4311100034008400,식품,음료,3
452,5011000374081100,4617000209021400,식품,농산물,4
453,5011000379064200,4128700034056300,식품,음료,3
454,5011000420060100,1174000015018100,식품,농산물,3
455,5011000420060100,4155000367070300,식품,농산물,5
456,5011000424031100,4420000387048100,식품,농산물,5
457,5011000424078200,1162000003070400,식품,농산물,4
458,5011000424078200,3611000376070400,식품,농산물,3
459,5011000424078200,4159000339008200,식품,농산물,3
460,5011000424078200,4511300061002200,식품,농산물,3
461,5011000429098400,4165000580017300,식품,농산물,5
462,5011000437099200,1114000005008200,식품,농산물,4
463,5011000437099200,1171000015083100,식품,농산물,4
464,5011000437099200,2720000009020200,식품,농산물,3
465,5011000437099200,4111300034092400,식품,농산물,3
466,5011000437099200,4115000048014200,식품,농산물,5
467,5011000450085400,4276001307089100,식품,수산,6
468,5011000470023200,3017000015016300,식품,기타식품,3
469,5011000478094100,3020000050061100,식품,음료,4
470,5011000478099100,1121500003044100,식품,농산물,6
471,5011000479028100,1126000011025300,식품,농산물,3
472,5011000479072300,1171000027006200,식품,기타식품,3
473,5011000485091400,4711100242001200,식품,농산물,3
474,5011000486060300,1150000013080200,식품,음료,3
475,5011000510027400,4413300189001200,식품,농산물,8
476,5011000525070400,4511100023025300,식품,농산물,3
477,5011000525070400,4721000314095300,식품,농산물,3
478,5011000535028300,1130500014069400,식품,농산물,4
479,5011000543038400,4119500005078200,식품,건강식품,6
480,5011000595017300,1120000010061300,생활/건강,음반,3
481,5011000595017300,1129000019030400,생활/건강,음반,3
482,5011000595017300,1132000015080300,생활/건강,음반,3
483,5011000595017300,1138000003059200,생활/건강,음반,4
484,5011000595017300,1162000009098300,생활/건강,음반,3
485,5011000595017300,4157000189045400,생활/건강,음반,4
486,5011000595017300,4159000255081400,생활/건강,음반,3
487,5011000595017300,4521000331070100,생활/건강,음반,3
488,5011000626011200,2723000067093300,식품,농산물,3
489,5011000685067100,1147000003075100,식품,농산물,5
490,5011000685067100,2811000057085100,식품,농산물,3
491,5011000685067100,3020000135075400,식품,농산물,3
492,5011000850094200,4521000301008300,식품,음료,3
493,5011000854058100,4313000673064100,식품,농산물,3
494,5011000968068300,4420000329097400,식품,농산물,14
495,5011001027035300,2726000008028100,식품,음료,3
496,5011001027035300,2726000012010300,식품,음료,4
497,5011001034043300,2626000009097400,식품,농산물,3
498,5011001056005400,4790000310077300,식품,농산물,3
499,5011001058020300,4111700012022100,식품,농산물,4
500,5011001070065300,4276001184008300,식품,농산물,3
501,5011001095044400,2820000034016200,식품,농산물,13
502,5013000043028400,4119900009061400,식품,농산물,5
503,5013000043054100,4213000381001200,식품,농산물,3
504,5013000043054100,4728000807039200,식품,농산물,3
505,5013000056011100,4113300010056100,식품,기타식품,7
506,5013000056011100,4571000768065400,식품,기타식품,3
507,5013000124098400,4723000751048400,식품,음료,3
508,5013000235040100,1120000003031100,식품,농산물,3
509,5013000315018400,3120000028067400,식품,농산물,3
510,5013000316015400,4713000840016200,식품,농산물,3
511,5013000316036200,2635000015056200,식품,농산물,3
512,5013000354052200,4155000358045200,식품,농산물,4
513,5013000354052200,4817000525036300,식품,농산물,3
514,5013000459099100,4127300057070100,식품,농산물,7
515,5013000467047100,4127100056022400,식품,농산물,3
516,5013000506072100,4711100165100300,식품,농산물,6
517,5013000557071300,2635000015096300,식품,농산물,3
518,5013000565050400,4784000259079400,식품,농산물,7
519,5013000572007300,4719000529054400,식품,농산물,4
520,5013000610049100,1171000027019100,식품,농산물,3
521,5013000610049100,2629000007011200,식품,농산물,4
522,5013000610049100,2726000008050200,식품,농산물,3
523,5013000610049100,2818500032085100,식품,농산물,3
524,5013000610049100,4111300021063300,식품,농산물,3
525,5013000610049100,4146500028073200,식품,농산물,4
526,5013000610049100,4157000228026300,식품,농산물,3
527,5013000610049100,4159000253020300,식품,농산물,3
528,5013000610049100,4161000206095400,식품,농산물,3
529,5013000610049100,4277001144065200,식품,농산물,6
530,5013000610049100,4421000474030400,식품,농산물,3
531,5013000610049100,4481000103097400,식품,농산물,7
