,종목코드
533,001525
534,079960
535,008970
536,104460
537,088910
538,094170
539,003580
540,049770
541,013120
542,018500
543,006040
544,030720
545,014820
546,014825
547,163560
548,109860
549,032960
550,001530
551,004890
552,002690
553,019300
554,023790
555,005290
556,025900
557,000020
558,000150
559,000157
560,011160
561,082740
562,000155
563,042670
564,034020
565,078590
566,176750
567,030350
568,220110
569,073190
570,066670
571,024090
572,003160
573,092200
574,109740
575,090710
576,131030
577,196490
578,066900
579,127120
580,092070
581,101000
582,134580
583,039840
584,108860
585,013570
586,207230
587,210540
588,079810
589,113810
590,043360
591,197140
592,106520
593,068930
594,033130
595,033310
596,105740
597,187220
598,026890
599,189700
600,131180
601,042510
602,050120
603,171120
604,115390
605,200350
606,171010
607,084650
608,092590
609,141080
610,060300
611,038390
612,047440
613,026040
614,090360
615,016170
616,067730
617,071280
618,043710
619,109960
620,032350
621,000400
622,023530
623,004990
624,005300
625,005305
626,011170
627,002270
628,071840
629,038060
630,082800
631,085370
632,060240
633,042940
634,058470
635,039980
636,197210
637,012700
638,038340
639,131100
640,042500
641,027740
642,098120
643,035480
644,038290
645,204320
646,001080
647,005990
648,127160
649,093520
650,141070
651,088980
652,094800
653,072870
654,215200
655,133750
656,200580
657,041920
658,086900
659,078160
660,065650
661,138040
662,008560
663,000060
664,140410
665,059210
666,058110
667,096640
668,017180
669,012690
670,005360
671,149940
672,080160
673,100030
674,101330
675,033200
676,009680
677,006920
678,009580
679,001810
680,009200
681,033920
682,008420
683,161570
684,095500
685,025560
686,007120
687,085620
688,215750
689,222420
690,037620
691,233190
692,049950
693,213090
694,207760
695,225850
696,002840
697,107590
698,134380
699,003650
700,059090
701,214180
702,155900
703,092630
704,206640
705,018700
706,035620
707,064520
708,053030
709,084990
710,064550
711,052260
712,208710
713,142760
714,038460
715,217950
716,216400
717,086040
718,043150
719,003610
720,001340
721,014580
722,046310
723,035150
724,066110
725,036620
726,104200
727,002410
728,019660
729,177350
730,084870
731,096300
732,007210
733,225530
734,002760
735,014100
736,003850
737,004740
738,006910
739,026260
740,000890
741,206950
742,003000
743,001270
744,001275
745,026940
746,014470
747,015350
748,025270
749,011390
750,005030
751,008470
752,100120
753,064480
754,033560
755,126340
756,100220
757,200780
758,052900
759,141000
760,156170
761,090460
762,083650
763,215050
764,086670
765,082920
766,054220
767,042370
768,032850
769,093190
770,065450
771,005180
772,069540
773,072950
774,143240
775,003960
776,007160
777,014710
778,006090
779,079660
780,123260
781,016100
782,100090
783,005090
784,122350
785,014970
786,005610
787,158380
788,018310
789,053700
790,009620
791,023600
792,111870
793,001470
794,006400
795,006405
796,006660
797,028260
798,02826K
799,032830
800,018260
801,028050
802,009150
803,009155
804,005930
805,005935
806,004000
807,001360
808,010140
809,010145
810,016360
811,068290
812,029780
813,000810
814,000815
815,006110
816,009300
817,145990
818,145995
819,003230
820,003940
821,003945
822,002170
823,000070
824,000075
825,002810
826,054540
827,065570
828,005680
829,003720
830,082660
831,023000
832,073640
833,004380
834,002450
835,032280
836,002290
837,000520
838,009770
839,037460
840,032750
841,054090
842,005500
843,000250
844,004690
845,024950
846,017480
847,001880
848,010960
849,046390
850,004450
851,009470
852,011230
853,001820
854,000390
855,027580
856,041650
857,091580
858,089980
859,042600
860,075180
861,007540
862,038070
863,006730
864,079650
865,100660
866,007860
867,017390
868,046890
869,004410
870,004415
871,036120
872,063170
873,027040
874,018680
875,021050
876,093920
877,189860
878,122690
879,011370
880,065710
881,033790
882,008490
883,035890
884,003100
885,123420
886,007610
887,136490
888,002820
889,014620
890,037350
891,014910
892,014915
893,003080
894,004980
895,004987
896,004989
897,004985
898,011300
899,081580
900,045300
901,015750
902,005980
903,000180
904,080470
905,043260
906,199870
907,002420
908,053060
909,017510
910,214310
911,004360
912,004365
913,004490
914,011560
915,121800
916,110660
917,001430
918,003030
919,019440
920,058650
921,013000
922,096690
923,100700
924,234100
925,024830
926,091090
927,021820
928,067830
929,033530
930,135270
931,036630
932,039310
933,080440
934,075580
935,067770
936,053450
937,027970
938,158310
939,145210
940,085980
941,049180
942,068270
943,068760
944,053110
945,052190
946,032680
947,032685
948,210610
949,066910
950,043100
951,070300
952,154040
953,035610
954,036830
955,039230
956,222520
957,004430
958,086980
959,017550
960,084180
961,002200
962,185190
963,003060
964,094840
965,192440
966,099440
967,053210
968,115570
969,032860
970,087220
971,013810
972,039670
973,049830
974,111610
975,020710
976,033170
977,025320
978,131090
979,016590
980,029530
981,004970
982,001000
983,025870
984,065350
985,011930
986,104120
987,104110
988,005390
989,004170
990,035510
991,034300
992,031430
993,031440
994,006880
995,086830
996,225590
997,005800
998,001720
999,001725
1000,025620
1001,009270
1002,009275
1003,017000
1004,002700
1005,012790
1006,138070
1007,019170
1008,019175
1009,002870
1010,005450
1011,203650
1012,055550
1013,001770
1014,056700
1015,187270
1016,066430
1017,004080
1018,007820
1019,108320
1020,204630
1021,222800
1022,036710
1023,160980
1024,102280
1025,047400
1026,003410
1027,003419
1028,003415
1029,010280
1030,003620
1031,004770
1032,051170
1033,217320
1034,037760
1035,136510
1036,099320
1037,049960
1038,050890
1039,099830
1040,066790
1041,144630
1042,004920
1043,103660
1044,112610
1045,021880
1046,115530
1047,115480
1048,189330
1049,096530
1050,900120
1051,101240
1052,047920
1053,189540
1054,060590
1055,036170
1056,013990
1057,123860
1058,008700
1059,050320
1060,058220
1061,002790
1062,002795
1063,090430
1064,090435
1065,052710
1066,074430
1067,092040
1068,083930
1069,149950
1070,090370
1071,036010
1072,002030
1073,183190
1074,002310
1075,050860
1076,067390
1077,232360
1078,083570
1079,083580
1080,083590
1081,083600
1082,083610
1083,083620
1084,127710
1085,020560
1086,154030
1087,143160
1088,054800
1089,078780
1090,060570
1091,122900
1092,099190
1093,214430
1094,040910
1095,068940
1096,052860
1097,010780
1098,069920
1099,038880
1100,101390
1101,078860
1102,114810
1103,031310
1104,185490
1105,059100
1106,149010
1107,039570
1108,052460
1109,119830
1110,124500
1111,053810
1112,033660
1113,032080
1114,013310
1115,059120
1116,056730
1117,023890
1118,101140
1119,067160
1120,001540
1121,053800
1122,001780
1123,002250
1124,131370
1125,096610
1126,061040
1127,148250
1128,196170
1129,123750
1130,085810
1131,117670
1132,022220
1133,161000
1134,205500
1135,052790
1136,131400
1137,030960
1138,102120
1139,224810
1140,019990
1141,011090
1142,208890
1143,025980
1144,041440
1145,038680
1146,121890
1147,097780
1148,042110
1149,065420
1150,103230
1151,900080
1152,101490
1153,095910
1154,036500
1155,031330
1156,060540
1157,158300
1158,112240
1159,056190
1160,080000
1161,160600
1162,086460
1163,005850
1164,041510
1165,109610
1166,012750
1167,210980
1168,096630
1169,069510
1170,041910
1171,039440
1172,098660
1173,052020
1174,050760
1175,058610
1176,043340
1177,023960
1178,054630
1179,200710
1180,031860
1181,078520
1182,203400
1183,003800
1184,088800
1185,138360
1186,015260
1187,234070
1188,035290
1189,044990
1190,028300
1191,067630
1192,226340
1193,044780
1194,071670
1195,045660
1196,224110
1197,021080
1198,089530
1199,182400
1200,073570
1201,043580
1202,214870
1203,038870
1204,086520
1205,038110
1206,073540
1207,064850
1208,036810
1209,173940
1210,065160
1211,054940
1212,950130
1213,205100
1214,092870
1215,067570
1216,036570
1217,054340
1218,217820
1219,095300
1220,138250
1221,224760
1222,207720
1223,198440
1224,215790
1225,217810
1226,218410
1227,225570
1228,183490
1229,085310
1230,206400
1231,069410
1232,068150
1233,048830
1234,096870
1235,061970
1236,138690
1237,208140
1238,220260
1239,066970
1240,156100
1241,073110
1242,083310
1243,037950
1244,170920
1245,183350
1246,058630
1247,019590
1248,097520
1249,009780
1250,123040
1251,074150
1252,032790
1253,180400
1254,033160
1255,069640
1256,050540
1257,115960
1258,090740
1259,193250
1260,014440
1261,007530
1262,143540
1263,111770
1264,009970
1265,036180
1266,003520
1267,000670
1268,036560
1269,006740
1270,012280
1271,012160
1272,036000
1273,053280
1274,015360
1275,122640
1276,179720
1277,045060
1278,080520
1279,007310
1280,039830
1281,046120
1282,014940
1283,002630
1284,065500
1285,001800
1286,010470
1287,053980
1288,052420
1289,039200
1290,031510
1291,048260
1292,138080
1293,080580
1294,067170
1295,049480
1296,057540
1297,057680
1298,123010
1299,082210
1300,109080
1301,052770
1302,010600
1303,122990
1304,067900
1305,155650
1306,019210
1307,122870
1308,079000
1309,900180
1310,089230
1311,114630
1312,032820
1313,041190
1314,115440
1315,004720
1316,118000
1317,046970
1318,215360
1319,072470
1320,000030
1321,153490
1322,082850
1323,037400
1324,010050
1325,101170
1326,006980
1327,194610
1328,066590
1329,017370
1330,046940
1331,052270
1332,065680
1333,105840
1334,018620
1335,049800
1336,016880
1337,095720
1338,103130
1339,005820
1340,032940
1341,030530
1342,074600
1343,104830
1344,014190
1345,012620
1346,216280
1347,008370
1348,008290
1349,101160
1350,095270
1351,900130
1352,036260
1353,065950
1354,114190
1355,076080
1356,196700
1357,069080
1358,039790
1359,044340
1360,043220
1361,112040
1362,140660
1363,038620
1364,036090
1365,136540
1366,097800
1367,192390
1368,008600
1369,033270
1370,044480
1371,014830
1372,036200
1373,018000
1374,000910
1375,203450
1376,011330
1377,077500
1378,011320
1379,086390
1380,121060
1381,091270
1382,048430
1383,089850
1384,084440
1385,032620
1386,078070
1387,002920
1388,024800
1389,000700
1390,054930
1391,069330
1392,049520
1393,204620
1394,219960
1395,003470
1396,003475
1397,056090
1398,011690
1399,072130
1400,000220
1401,000225
1402,000227
1403,195990
1404,023410
1405,056080
1406,221200
1407,215090
1408,084370
1409,001200
1410,178780
1411,221800
1412,000100
1413,000105
1414,003460
1415,003465
1416,191410
1417,008730
1418,044960
1419,008250
1420,039020
1421,025820
1422,060230
1423,067920
1424,210120
1425,214320
1426,073490
1427,080420
1428,088390
1429,053350
1430,033110
1431,041520
1432,054210
1433,065440
1434,139480
1435,115610
1436,217600
1437,225440
1438,078020
1439,080010
1440,086890
1441,007660
1442,005950
1443,015020
1444,047560
1445,900110
1446,067010
1447,093230
1448,223310
1449,101360
1450,074610
1451,102710
1452,094190
1453,063760
1454,123570
1455,095190
1456,091120
1457,232530
1458,102460
1459,039030
1460,088290
1461,084680
1462,033600
1463,035810
1464,090850
1465,058530
1466,092130
1467,016250
1468,096040
1469,185280
1470,134060
1471,001840
1472,000760
1473,024810
1474,014990
1475,041830
1476,062580
1477,060150
1478,033230
1479,006490
1480,037330
1481,023800
1482,034590
1483,211050
1484,083640
1485,049070
1486,119610
1487,017250
1488,129260
1489,108790
1490,035080
1491,051370
1492,023430
1493,064290
1494,150840
1495,048530
1496,023810
1497,175140
1498,115310
1499,039290
1500,036220
1501,041020
1502,071200
1503,101930
1504,078940
1505,000230
1506,013360
1507,013367
1508,003120
1509,068330
1510,003200
1511,007110
1512,058450
1513,007570
1514,007575
1515,008500
1516,019540
1517,081000
1518,020760
1519,020150
1520,103590
1521,094820
1522,015860
1523,226320
1524,049550
1525,230400
1526,043910
1527,033240
1528,049630
1529,000950
1530,065530
1531,224090
1532,040420
1533,045510
1534,065620
1535,217190
1536,095700
1537,187420
1538,225220
1539,123330
1540,159580
1541,147830
1542,033100
1543,019570
1544,079370
1545,054950
1546,090470
1547,137950
1548,033320
1549,086200
1550,126880
1551,033050
1552,094970
1553,058420
1554,036420
1555,089790
1556,030000
1557,052670
1558,002620
1559,001560
1560,023440
1561,038010
1562,080220
1563,006220
1564,089590
1565,229000
1566,082270
1567,041590
1568,044060
1569,004910
1570,004700
1571,001550
1572,000480
1573,120030
1574,034940
1575,101730
1576,067000
1577,018470
1578,002600
1579,185750
1580,063160
1581,001630
1582,033340
1583,036930
1584,044380
1585,900050
1586,072020
1587,000440
1588,054180
1589,155960
1590,138290
1591,114570
1592,051160
1593,053050
1594,007630
1595,119850
1596,065060
1597,013870
1598,018290
1599,071320
1600,010580
1601,035000
1602,115450
1603,219750
1604,088790
1605,018120
1606,109820
1607,086060
1608,036890
1609,003780
1610,007370
1611,010640
1612,100250
1613,051630
1614,011000
1615,002780
1616,002787
1617,002785
1618,196450
1619,085660
1620,900040
1621,900090
1622,009310
1623,094850
1624,004650
1625,111820
1626,000650
1627,140290
1628,096240
1629,013720
1630,012600
1631,033250
1632,047820
1633,094360
1634,016920
1635,220250
1636,035720
1637,006380
1638,071850
1639,066410
1640,050110
1641,078340
1642,214370
1643,063440
1644,029480
1645,221980
1646,043290
1647,208350
1648,208640
1649,214270
1650,222390
1651,021960
1652,192250
1653,115500
1654,029460
1655,089150
1656,025880
1657,093320
1658,065940
1659,073010
1660,105330
1661,039420
1662,083550
1663,032500
1664,145270
1665,122800
1666,204650
1667,214150
1668,220630
1669,058860
1670,064820
1671,024880
1672,042040
1673,054410
1674,089010
1675,052400
1676,094860
1677,046070
1678,047770
1679,080530
1680,224060
1681,900140
1682,078650
1683,104540
1684,090970
1685,090980
1686,090990
1687,091000
1688,027050
1689,007815
1690,007810
1691,00781K
1692,101670
1693,123410
1694,152330
1695,003690
1696,036690
1697,049430
1698,041960
1699,009730
1700,189350
1701,192820
1702,044820
1703,005070
1704,005420
1705,069110
1706,048870
1707,071950
1708,166480
1709,045970
1710,038530
1711,029960
1712,002020
1713,003070
1714,003075
1715,144620
1716,102940
1717,002025
1718,120110
1719,120115
1720,138490
1721,056000
1722,021240
1723,033290
1724,056360
1725,121850
1726,015710
1727,052330
1728,126600
1729,200130
1730,031820
1731,225650
1732,192400
1733,060280
1734,040350
1735,051780
1736,065560
1737,182360
1738,066310
1739,136660
1740,016600
1741,005740
1742,005745
1743,067280
1744,215570
1745,043590
1746,114120
1747,083790
1748,045520
1749,012170
1750,218710
1751,226850
1752,039490
1753,054780
1754,219130
1755,019770
1756,065130
1757,015890
1758,006890
1759,023160
1760,003240
1761,011280
1762,053620
1763,004100
1764,004105
1765,116100
1766,072520
1767,009410
1768,009415
1769,044490
1770,001420
1771,007980
1772,191420
1773,123100
1774,182690
1775,066700
1776,151750
1777,095610
1778,131970
1779,089030
1780,038540
1781,054450
1782,091440
1783,078000
1784,200230
1785,214420
1786,051360
1787,045340
1788,057880
1789,108230
1790,079970
1791,199800
1792,140890
1793,052290
1794,105550
1795,026150
1796,033830
1797,064760
1798,131290
1799,019180
1800,062860
1801,004870
1802,008900
1803,104480
1804,081150
1805,130740
1806,217880
1807,134790
1808,084730
1809,046210
1810,034230
1811,033540
1812,043200
1813,214450
1814,005690
1815,177830
1816,037070
1817,150900
1818,047310
1819,170790
1820,049120
1821,038950
1822,106240
1823,131760
1824,028040
1825,140860
1826,091700
1827,194510
1828,202960
1829,032800
1830,043090
1831,036580
1832,027710
1833,068050
1834,028670
1835,010820
1836,016800
1837,060900
1838,001020
1839,087010
1840,090080
1841,043370
1842,010770
1843,119500
1844,016670
1845,022100
1846,058430
1847,009520
1848,003670
1849,051310
1850,189690
1851,141020
1852,032980
1853,005670
1854,094940
1855,007330
1856,017810
1857,093380
1858,023900
1859,103140
1860,005810
1861,220100
1862,035200
1863,203690
1864,053610
1865,053160
1866,060910
1867,075130
1868,222670
1869,023770
1870,065270
1871,150440
1872,032580
1873,051380
1874,131390
1875,024850
1876,031980
1877,002230
1878,137400
1879,082390
1880,144740
1881,179440
1882,128660
1883,006140
1884,087600
1885,033180
1886,064800
1887,230240
1888,086790
1889,099340
1890,099350
1891,067310
1892,208370
1893,208870
1894,215100
1895,218150
1896,103650
1897,039130
1898,136480
1899,024660
1900,233990
1901,172580
1902,139200
1903,153360
1904,159650
1905,149980
1906,013030
1907,126700
1908,200470
1909,106080
1910,071090
1911,066980
1912,205470
1913,217500
1914,221840
1915,106190
1916,019490
1917,000080
1918,000087
1919,000140
1920,000145
1921,066130
1922,222080
1923,152550
1924,004590
1925,036460
1926,039340
1927,005430
1928,071050
1929,071055
1930,034950
1931,010040
1932,025540
1933,222980
1934,226610
1935,060250
1936,004090
1937,025550
1938,002960
1939,017890
1940,002000
1941,002005
1942,033430
1943,015760
1944,063570
1945,041460
1946,006200
1947,101680
1948,039740
1949,053300
1950,025770
1951,002300
1952,023350
1953,025890
1954,000970
1955,104700
1956,017960
1957,023760
1958,054040
1959,161890
1960,024720
1961,021650
1962,161390
1963,000240
1964,053590
1965,034830
1966,007280
1967,228180
1968,168490
1969,037230
1970,010100
1971,047810
1972,123690
1973,003350
1974,030520
1975,052600
1976,011500
1977,002390
1978,014790
1979,092460
1980,060980
1981,053690
1982,042700
1983,008930
1984,128940
1985,047080
1986,009240
1987,020000
1988,003680
1989,105630
1990,016450
1991,010420
1992,081970
1993,009180
1994,099660
1995,007190
1996,007197
1997,070590
1998,213500
1999,014680
2000,004710
2001,004150
2002,025750
2003,042520
2004,004960
2005,011700
2006,078350
2007,045100
2008,001750
2009,001755
2010,064090
2011,018880
2012,009420
2013,014130
2014,046110
2015,024740
2016,005860
2017,003300
2018,200880
2019,123840
2020,002220
2021,007770
2022,051600
2023,052690
2024,130660
2025,198940
2026,107640
2027,002320
2028,097230
2029,003480
2030,180640
2031,18064K
2032,061460
2033,117930
2034,005110
2035,079170
2036,009460
2037,054920
2038,077280
2039,002680
2040,000880
2041,217620
2042,215380
2043,027390
2044,088350
2045,000370
2046,214680
2047,219860
2048,000885
2049,009830
2050,009835
2051,012450
2052,003530
2053,003535
2054,025850
2055,015540
2056,102210
2057,034810
2058,076610
2059,220180
2060,008800
2061,054300
2062,089470
2063,000720
2064,000725
2065,170030
2066,005440
2067,086280
2068,221950
2069,226360
2070,064350
2071,079430
2072,012330
2073,010620
2074,069960
2075,004560
2076,004565
2077,012630
2078,011760
2079,011200
2080,006390
2081,227840
2082,048410
2083,004310
2084,204760
2085,126560
2086,017800
2087,011210
2088,026180
2089,004020
2090,009540
2091,003450
2092,005380
2093,005387
2094,005389
2095,005385
2096,039010
2097,011720
2098,001450
2099,057050
2100,204990
2101,092300
2102,053660
2103,011080
2104,093240
2105,003010
2106,008770
2107,008775
2108,060560
2109,064240
2110,039610
2111,002460
2112,013520
2113,006060
2114,010690
2115,126640
2116,086250
2117,133820
2118,061250
2119,134780
2120,010660
2121,000850
2122,016580
2123,032560
2124,004800
2125,094280
2126,097870
2127,093370
2128,050090
2129,081660
2130,005870
2131,051980
2132,115160
2133,028080
2134,200670
2135,079980
2136,065510
2137,005010
2138,084110
2139,145020
2140,069260
2141,024060
2142,010240
2143,189980
2144,000540
2145,000547
2146,000545
2147,003280
2148,037440
2154,211270
2180,241520
2190,900290
2202,254120
2203,252500
2208,234080
2224,112190
2309,232290
2320,232330
2396,900280
2410,242040
2423,243870
2458,244880
2462,167380
2510,144510
2525,144960
2556,004440
2600,071460
2700,228340
2725,241560
2730,016740
2751,212310
2779,228850
2781,238120
2783,238500
2784,900260
2802,08537M
2813,219420
2816,147760
2833,236340
2851,204210
2870,239340
2882,201490
2899,199290
2901,222160
2922,242420
2949,148780
2979,207940
3040,248170
3069,067370
3138,230980
3141,050960
3144,253840
3148,236200
3154,258540
3157,245030
3163,246830
3166,232830
3172,215600
3233,245450
3236,225330
3241,235090
3290,226350
3311,251280
3312,065660
3325,196300
3329,238090
3346,260970
3360,246250
3362,252940
3366,224020
3373,237690
3389,072990
3391,176440
3395,239610
3407,230360
3428,256840
3434,208860
3446,229640
3453,058970
3458,251960
3476,242850
3484,900300
3495,227420
3498,241790
3500,226400
3506,173130
3526,070960
3536,073560
3558,240810
3596,241690
3597,142210
3609,252370
3657,208850
3668,241510
3706,216050
3712,240340
3717,189300
3725,247300
3729,249420
3749,950140
3753,234920
3755,174880
3758,120780
3767,066830
3781,194370
3783,250300
3820,229480
3825,228760
3876,260490
3884,250930
3886,232270
3900,237720
3906,256940
3940,241710
3973,115180
3985,900250
3987,237880
4036,246690
4040,191600
4065,038160
4071,256090
4075,222110
4103,195440
4116,258250
4118,237750
4123,242350
4124,239890
4133,250060
4156,235010
4168,240540
4187,123890
4240,221610
4287,00088K
4303,195870
4306,101530
4308,143210
4310,900270
4360,241590
4386,243070
4403,265520
4406,282330
4459,264850
4460,276920
4461,277410
4565,224880
4625,267290
4662,267320
4680,272420
4755,251270
4789,271850
4823,262830
4838,007680
4888,263600
4890,263800
4895,145720
4912,281740
4929,282690
4943,092780
4975,270020
4981,187870
4988,263720
5020,285770
5043,280360
5045,00499K
5053,162120
5072,267980
5085,233250
5096,241770
5101,267060
5109,087260
5114,118990
5122,279600
5129,265480
5139,268280
5160,281310
5179,250000
5199,251630
5203,148140
5211,138580
5222,266170
5267,225190
5269,272550
5306,263810
5310,263540
5332,178320
5334,140070
5343,171090
5399,091990
5427,253450
5435,260870
5439,269620
5458,002800
5460,263770
5474,257730
5475,277480
5481,243840
5506,236030
5522,260930
5542,246720
5547,227610
5560,079440
5585,271400
5590,140670
5599,267810
5606,174900
5607,255440
5616,270660
5618,217480
5625,270210
5638,263920
5645,251540
5653,234300
5702,083500
5703,278990
5717,256630
5719,273060
5742,225860
5749,259630
5764,265560
5780,271560
5808,251370
5890,206650
5894,264450
5921,179900
5938,272290
5940,258610
5978,181340
6087,271980
6092,003380
6114,221670
6123,263860
6152,272450
6168,066360
6179,900310
6181,205290
6187,258790
6193,281820
6232,183300
6274,264900
6275,26490K
6293,284610
6294,180060
6317,055490
6339,950160
6342,277880
6387,263750
6403,176560
6424,266870
6429,241820
6444,161580
6445,270520
6447,261200
6452,166090
6503,271740
6504,281410
6596,265920
6598,264290
6599,279410
6618,267270
6623,267250
6640,267260
6659,111110
6687,284420
6708,238490
6738,306620
6750,245620
6770,294870
6773,299170
6777,297570
6782,950170
6877,255220
6890,307070
6907,285130
6908,28513K
6918,289080
6968,307870
6983,307280
7031,288490
7036,293580
7048,111710
7057,290660
7081,194700
7082,285490
7099,270870
7112,086080
7118,00806K
7133,290670
7146,253590
7148,303030
7149,307750
7166,311840
7173,290380
7175,290120
7211,302920
7228,006620
7312,110990
7313,263690
7330,227100
7339,263020
7340,290550
7344,163430
7366,108490
7374,286940
7394,302550
7396,277070
7414,100590
7438,257370
7466,00680K
7468,310200
7497,086820
7508,267790
7517,299910
7552,271780
7560,238200
7586,309930
7591,291230
7717,306200
7730,258830
7740,268600
7806,307180
7820,293940
7833,217330
7855,264660
7891,267850
7907,122050
7916,175250
7921,027360
7935,260660
7947,018250
7953,290740
7981,275630
7994,299670
7999,217910
8010,288620
8014,298690
8019,298380
8043,207490
8047,089970
8050,064510
8053,128540
8068,140610
8078,310840
8082,262760
8088,276240
8092,290650
8095,311060
8105,179290
8112,204020
8161,226950
8167,153710
8205,010400
8232,065370
8235,299900
8241,900340
8270,287410
8288,263050
