일자|시간|구분,공급량
2019-01-03 04 A,2012.7779851352986
2019-01-03 05 A,2239.639215704306
2019-01-03 06 A,2432.5186818726074
2019-01-03 07 A,2732.038236712277
2019-01-03 08 A,3201.803919694349
2019-01-03 09 A,3221.94201255695
2019-01-03 10 A,3122.389917877013
2019-01-03 11 A,3021.775281624794
2019-01-03 12 A,2747.9083079751726
2019-01-03 13 A,2575.5831561845052
2019-01-03 14 A,2482.2144465558667
2019-01-03 15 A,2360.4576296333144
2019-01-03 16 A,2346.317323154521
2019-01-03 17 A,2379.3942053772607
2019-01-03 18 A,2601.3387223703385
2019-01-03 19 A,2909.358558936615
2019-01-03 20 A,2984.937294991171
2019-01-03 21 A,2968.955017493023
2019-01-03 22 A,2931.9914882100625
2019-01-03 23 A,2804.169362432029
2019-01-03 24 A,2676.9266789348844
2019-01-04 01 A,2203.3817763180177
2019-01-04 02 A,1976.0264568002005
2019-01-04 03 A,1896.0953756986428
2019-01-04 04 A,1916.0191081295825
2019-01-04 05 A,2147.6467737829526
2019-01-04 06 A,2340.5262399512553
2019-01-04 07 A,2640.045794790925
2019-01-04 08 A,3109.811477772996
2019-01-04 09 A,3129.949570635598
2019-01-04 10 A,3030.3974759556604
2019-01-04 11 A,2929.7828397034414
2019-01-04 12 A,2655.9158660538205
2019-01-04 13 A,2483.5907142631527
2019-01-04 14 A,2390.222004634514
2019-01-04 15 A,2268.4651877119622
2019-01-04 16 A,2254.3248812331685
2019-01-04 17 A,2287.401763455908
2019-01-04 18 A,2509.346280448986
2019-01-04 19 A,2791.5381903186617
2019-01-04 20 A,2833.442461423238
2019-01-04 21 A,2814.8366196259967
2019-01-04 22 A,2752.956104201117
2019-01-04 23 A,2648.5894317013704
2019-01-04 24 A,2566.5463747360773
2019-01-05 01 A,2392.163637930449
2019-01-05 02 A,2179.384277898858
2019-01-05 03 A,2116.774641678592
2019-01-05 04 A,2135.418425923349
2019-01-05 05 A,2221.247824965493
2019-01-05 06 A,2306.6644746825455
2019-01-05 07 A,2525.0467563825373
2019-01-05 08 A,2806.5456507577305
2019-01-05 09 A,2900.988726461817
2019-01-05 10 A,2904.704053629817
2019-01-05 11 A,2852.775919705556
2019-01-05 12 A,2627.3622880639323
2019-01-05 13 A,2543.5938028071996
2019-01-05 14 A,2468.9946630902136
2019-01-05 15 A,2347.2378461676635
2019-01-05 16 A,2333.09753968887
2019-01-05 17 A,2366.1744219116094
2019-01-05 18 A,2558.0393323355033
2019-01-05 19 A,2738.050728083351
2019-01-05 20 A,2766.1040542749115
2019-01-05 21 A,2743.3444871092456
2019-01-05 22 A,2677.207245308637
2019-01-05 23 A,2588.4916138615463
2019-01-05 24 A,2518.4295009784805
2019-01-06 01 A,2343.8580575929464
2019-01-06 02 A,2135.596955425799
2019-01-06 03 A,2072.987319205534
2019-01-06 04 A,2091.6311034502905
2019-01-06 05 A,2175.7766962659452
2019-01-06 06 A,2261.1933459829975
2019-01-06 07 A,2456.945873354914
2019-01-06 08 A,2684.715930793483
2019-01-06 09 A,2797.98350708307
2019-01-06 10 A,2817.701773087084
2019-01-06 11 A,2824.818724409622
2019-01-06 12 A,2551.916489297396
2019-01-06 13 A,2468.1480040406627
2019-01-06 14 A,2399.797519471751
2019-01-06 15 A,2298.0153488262317
2019-01-06 16 A,2268.4267605990954
2019-01-06 17 A,2301.503642821835
2019-01-06 18 A,2493.368553245729
2019-01-06 19 A,2693.590861344045
2019-01-06 20 A,2736.9891081670094
2019-01-06 21 A,2719.0273501067154
2019-01-06 22 A,2654.9151323306032
2019-01-06 23 A,2559.6916553854726
2019-01-06 24 A,2471.6582781520146
2019-01-07 01 A,2184.6579362106336
2019-01-07 02 A,1997.7777210073166
2019-01-07 03 A,1949.1991765473683
2019-01-07 04 A,1969.3995742644013
2019-01-07 05 A,2201.300126216687
2019-01-07 06 A,2394.1795923849895
2019-01-07 07 A,2697.334431050476
2019-01-07 08 A,3100.484450216138
2019-01-07 09 A,3120.62254307874
2019-01-07 10 A,3021.0704483988025
2019-01-07 11 A,2920.4558121465834
2019-01-07 12 A,2646.5888384969626
2019-01-07 13 A,2474.2636867062947
2019-01-07 14 A,2380.894977077656
2019-01-07 15 A,2263.116822310117
2019-01-07 16 A,2248.9765158313235
2019-01-07 17 A,2282.0533980540636
2019-01-07 18 A,2503.997915047141
2019-01-07 19 A,2812.0177516134177
2019-01-07 20 A,2887.596487667973
2019-01-07 21 A,2871.6142101698256
2019-01-07 22 A,2829.797244062229
2019-01-07 23 A,2701.9751182841956
2019-01-07 24 A,2574.7324347870513
2019-01-08 01 A,2101.4756694101666
2019-01-08 02 A,1874.1203498923505
2019-01-08 03 A,1802.9163469271275
2019-01-08 04 A,1822.8400793580672
2019-01-08 05 A,2031.8536846235393
2019-01-08 06 A,2224.73315079184
2019-01-08 07 A,2524.252705631509
2019-01-08 08 A,2994.01838861358
2019-01-08 09 A,3014.156481476182
2019-01-08 10 A,2914.6043867962444
2019-01-08 11 A,2813.9897505440254
2019-01-08 12 A,2540.1227768944045
2019-01-08 13 A,2367.7976251037367
2019-01-08 14 A,2274.428915475098
2019-01-08 15 A,2152.6720985525467
2019-01-08 16 A,2138.531792073753
2019-01-08 17 A,2171.6086742964926
2019-01-08 18 A,2393.55319128957
2019-01-08 19 A,2701.5730278558467
2019-01-08 20 A,2805.6038381504372
2019-01-08 21 A,2789.6215606522896
2019-01-08 22 A,2752.658031369329
2019-01-08 23 A,2624.8359055912956
2019-01-08 24 A,2469.1411478541163
2019-01-09 01 A,2049.348869606684
2019-01-09 02 A,1821.9935500888666
2019-01-09 03 A,1745.6172790305386
2019-01-09 04 A,1765.5410114614783
2019-01-09 05 A,2000.416876487602
2019-01-09 06 A,2193.296342655904
2019-01-09 07 A,2492.815897495573
2019-01-09 08 A,2962.5815804776444
2019-01-09 09 A,2982.719673340246
2019-01-09 10 A,2883.1675786603087
2019-01-09 11 A,2782.5529424080896
2019-01-09 12 A,2508.685968758469
2019-01-09 13 A,2336.360816967801
2019-01-09 14 A,2242.9921073391624
2019-01-09 15 A,2121.235290416611
2019-01-09 16 A,2107.0949839378172
2019-01-09 17 A,2140.171866160557
2019-01-09 18 A,2362.116383153634
2019-01-09 19 A,2670.136219719911
2019-01-09 20 A,2776.942282588332
2019-01-09 21 A,2760.9600050901845
2019-01-09 22 A,2723.9964758072238
2019-01-09 23 A,2596.1743500291905
2019-01-09 24 A,2437.7043397181806
2019-01-10 01 A,2058.357370369627
2019-01-10 02 A,1831.0020508518107
2019-01-10 03 A,1754.6257797934827
2019-01-10 04 A,1774.5495122244224
2019-01-10 05 A,2009.425377250546
2019-01-10 06 A,2202.304843418848
2019-01-10 07 A,2501.8243982585172
2019-01-10 08 A,2971.5900812405885
2019-01-10 09 A,2991.72817410319
2019-01-10 10 A,2892.1760794232528
2019-01-10 11 A,2791.5614431710337
2019-01-10 12 A,2517.694469521413
2019-01-10 13 A,2345.369317730745
2019-01-10 14 A,2252.0006081021065
2019-01-10 15 A,2130.243791179555
2019-01-10 16 A,2116.1034847007613
2019-01-10 17 A,2149.180366923501
2019-01-10 18 A,2371.1248839165783
2019-01-10 19 A,2679.144720482855
2019-01-10 20 A,2785.950783351276
2019-01-10 21 A,2769.9685058531286
2019-01-10 22 A,2733.004976570168
2019-01-10 23 A,2605.1828507921346
2019-01-10 24 A,2446.7128404811247
2019-01-11 01 A,2048.956237901095
2019-01-11 02 A,1821.600918383278
2019-01-11 03 A,1741.6698372817204
2019-01-11 04 A,1761.5935697126602
2019-01-11 05 A,1969.5043359050123
2019-01-11 06 A,2162.3838020733147
2019-01-11 07 A,2461.903356912984
2019-01-11 08 A,2931.669039895055
2019-01-11 09 A,2951.8071327576567
2019-01-11 10 A,2852.2550380777193
2019-01-11 11 A,2751.6404018255002
2019-01-11 12 A,2477.7734281758794
2019-01-11 13 A,2305.4482763852116
2019-01-11 14 A,2212.079566756573
2019-01-11 15 A,2090.3227498340216
2019-01-11 16 A,2076.182443355228
2019-01-11 17 A,2109.2593255779675
2019-01-11 18 A,2331.203842571045
2019-01-11 19 A,2613.3957524407206
2019-01-11 20 A,2655.300023545297
2019-01-11 21 A,2636.6941817480556
2019-01-11 22 A,2583.8946707326077
2019-01-11 23 A,2479.527998232861
2019-01-11 24 A,2397.484941267568
2019-01-12 01 A,2065.511529563134
2019-01-12 02 A,1852.732169531544
2019-01-12 03 A,1790.1225333112786
2019-01-12 04 A,1808.7663175560356
2019-01-12 05 A,1920.640532978409
2019-01-12 06 A,2006.0571826954617
2019-01-12 07 A,2224.439464395454
2019-01-12 08 A,2505.938358770647
2019-01-12 09 A,2600.3814344747334
2019-01-12 10 A,2604.0967616427333
2019-01-12 11 A,2552.1686277184726
2019-01-12 12 A,2326.754996076849
2019-01-12 13 A,2242.986510820116
2019-01-12 14 A,2168.387371103132
2019-01-12 15 A,2046.6305541805802
2019-01-12 16 A,2032.4902477017858
2019-01-12 17 A,2065.5671299245264
2019-01-12 18 A,2257.43204034842
2019-01-12 19 A,2437.4434360962673
2019-01-12 20 A,2465.496762287828
2019-01-12 21 A,2442.737195122162
2019-01-12 22 A,2380.4405909717457
2019-01-12 23 A,2291.724959524655
2019-01-12 24 A,2221.662846641589
2019-01-13 01 A,1978.4027451642387
2019-01-13 02 A,1770.1416429970918
2019-01-13 03 A,1707.5320067768264
2019-01-13 04 A,1726.1757910215833
2019-01-13 05 A,1777.9279645345507
2019-01-13 06 A,1863.3446142516034
2019-01-13 07 A,2057.5022955302525
2019-01-13 08 A,2285.2723529688215
2019-01-13 09 A,2407.4377452389535
2019-01-13 10 A,2427.156011242968
2019-01-13 11 A,2434.2729625655056
2019-01-13 12 A,2228.8899675456296
2019-01-13 13 A,2145.121482288897
2019-01-13 14 A,2076.7709977199856
2019-01-13 15 A,1983.7650128702855
2019-01-13 16 A,1989.7638043057566
2019-01-13 17 A,2022.8406865284965
2019-01-13 18 A,2225.67835513586
2019-01-13 19 A,2425.900663234176
2019-01-13 20 A,2469.2989100571403
2019-01-13 21 A,2451.3371519968464
2019-01-13 22 A,2381.9845674614944
2019-01-13 23 A,2286.7610905163638
2019-01-13 24 A,2212.2629523668406
2019-01-14 01 A,2013.2730419350326
2019-01-14 02 A,1801.35584768519
2019-01-14 03 A,1752.7773032252417
2019-01-14 04 A,1772.9777009422746
2019-01-14 05 A,1997.713830461125
2019-01-14 06 A,2190.593296629427
2019-01-14 07 A,2493.748135294913
2019-01-14 08 A,2986.0752407717678
2019-01-14 09 A,3006.2133336343695
2019-01-14 10 A,2906.661238954432
2019-01-14 11 A,2806.046602702213
2019-01-14 12 A,2532.179629052592
2019-01-14 13 A,2359.8544772619243
2019-01-14 14 A,2266.485767633286
2019-01-14 15 A,2148.7076128657473
2019-01-14 16 A,2134.5673063869535
2019-01-14 17 A,2167.644188609693
2019-01-14 18 A,2389.5887056027705
2019-01-14 19 A,2697.6085421690473
2019-01-14 20 A,2767.3306552326894
2019-01-14 21 A,2751.348377734542
2019-01-14 22 A,2714.384848451581
2019-01-14 23 A,2585.208179038349
2019-01-14 24 A,2461.1002121027736
2019-01-15 01 A,2052.501304806678
2019-01-15 02 A,1825.1459852888613
2019-01-15 03 A,1753.9419823236383
2019-01-15 04 A,1773.865714754578
2019-01-15 05 A,1978.5167316061006
2019-01-15 06 A,2171.396197774404
2019-01-15 07 A,2470.915752614073
2019-01-15 08 A,2940.681435596144
2019-01-15 09 A,2960.819528458746
2019-01-15 10 A,2861.2674337788085
2019-01-15 11 A,2760.6527975265894
2019-01-15 12 A,2486.7858238769686
2019-01-15 13 A,2314.4606720863007
2019-01-15 14 A,2221.0919624576622
2019-01-15 15 A,2099.3351455351108
2019-01-15 16 A,2085.194839056317
2019-01-15 17 A,2118.2717212790567
2019-01-15 18 A,2340.216238272134
2019-01-15 19 A,2648.236074838411
2019-01-15 20 A,2717.958187902053
2019-01-15 21 A,2701.9759104039053
2019-01-15 22 A,2665.0123811209446
2019-01-15 23 A,2535.8357117077126
2019-01-15 24 A,2411.727744772137
2019-01-16 01 A,2026.5565065329456
2019-01-16 02 A,1799.2011870151287
2019-01-16 03 A,1722.8249159568006
2019-01-16 04 A,1742.7486483877403
2019-01-16 05 A,1938.9412188360993
2019-01-16 06 A,2131.820685004401
2019-01-16 07 A,2431.3402398440703
2019-01-16 08 A,2901.1059228261415
2019-01-16 09 A,2921.2440156887433
2019-01-16 10 A,2821.691921008806
2019-01-16 11 A,2721.077284756587
2019-01-16 12 A,2447.210311106966
2019-01-16 13 A,2274.885159316298
2019-01-16 14 A,2181.5164496876596
2019-01-16 15 A,2059.759632765108
2019-01-16 16 A,2045.619326286314
2019-01-16 17 A,2078.696208509054
2019-01-16 18 A,2300.6407255021313
2019-01-16 19 A,2608.660562068408
2019-01-16 20 A,2678.3826751320503
2019-01-16 21 A,2662.4003976339027
2019-01-16 22 A,2625.436868350942
2019-01-16 23 A,2496.26019893771
2019-01-16 24 A,2372.1522320021345
2019-01-17 01 A,2026.5565065329456
2019-01-17 02 A,1799.2011870151287
2019-01-17 03 A,1722.8249159568006
2019-01-17 04 A,1742.7486483877403
2019-01-17 05 A,1938.9412188360993
2019-01-17 06 A,2131.820685004401
2019-01-17 07 A,2431.3402398440703
2019-01-17 08 A,2897.527056902149
2019-01-17 09 A,2911.729859623358
2019-01-17 10 A,2809.6158238553267
2019-01-17 11 A,2709.0011876031076
2019-01-17 12 A,2435.134213953487
2019-01-17 13 A,2262.809062162819
2019-01-17 14 A,2169.4403525341804
2019-01-17 15 A,2059.759632765108
2019-01-17 16 A,2045.619326286314
2019-01-17 17 A,2078.696208509054
2019-01-17 18 A,2300.6407255021313
2019-01-17 19 A,2608.660562068408
2019-01-17 20 A,2678.3826751320503
2019-01-17 21 A,2662.4003976339027
2019-01-17 22 A,2625.436868350942
2019-01-17 23 A,2496.26019893771
2019-01-17 24 A,2372.1522320021345
2019-01-18 01 A,2025.7126938943845
2019-01-18 02 A,1798.3573743765673
2019-01-18 03 A,1718.4262932750098
2019-01-18 04 A,1738.3500257059495
2019-01-18 05 A,1958.011214250064
2019-01-18 06 A,2150.8906804183666
2019-01-18 07 A,2450.4102352580358
2019-01-18 08 A,2916.5970523161145
2019-01-18 09 A,2930.7998550373236
2019-01-18 10 A,2828.685819269292
2019-01-18 11 A,2728.071183017073
2019-01-18 12 A,2454.204209367452
2019-01-18 13 A,2281.8790575767844
2019-01-18 14 A,2188.510347948146
2019-01-18 15 A,2078.8296281790736
2019-01-18 16 A,2064.68932170028
2019-01-18 17 A,2097.7662039230195
2019-01-18 18 A,2323.54977325397
2019-01-18 19 A,2605.741683123646
2019-01-18 20 A,2647.6459542282223
2019-01-18 21 A,2629.040112430981
2019-01-18 22 A,2573.3423135224793
2019-01-18 23 A,2468.975641022733
2019-01-18 24 A,2383.0935317195663
2019-01-19 01 A,1993.0809787591859
2019-01-19 02 A,1780.3016187275953
2019-01-19 03 A,1717.6919825073298
2019-01-19 04 A,1736.3357667520868
2019-01-19 05 A,1826.1883533634111
2019-01-19 06 A,1911.6050030804638
2019-01-19 07 A,2129.9872847804554
2019-01-19 08 A,2407.907313231656
2019-01-19 09 A,2496.41509879435
2019-01-19 10 A,2497.568484874256
2019-01-19 11 A,2445.640350949995
2019-01-19 12 A,2220.226719308371
2019-01-19 13 A,2136.4582340516386
2019-01-19 14 A,2061.859094334654
2019-01-19 15 A,1952.1783745655823
2019-01-19 16 A,1938.0380680867881
2019-01-19 17 A,1971.114950309528
2019-01-19 18 A,2166.818913071295
2019-01-19 19 A,2346.8303088191424
2019-01-19 20 A,2374.883635010703
2019-01-19 21 A,2352.124067845037
2019-01-19 22 A,2292.169542560807
2019-01-19 23 A,2203.453911113716
2019-01-19 24 A,2129.552745892777
2019-01-20 01 A,1960.5327681098383
2019-01-20 02 A,1752.2716659426915
2019-01-20 03 A,1689.662029722426
2019-01-20 04 A,1708.305813967183
2019-01-20 05 A,1751.0156804858268
2019-01-20 06 A,1836.4323302028795
2019-01-20 07 A,2030.590011481528
2019-01-20 08 A,2258.360068920097
2019-01-20 09 A,2380.525461190229
2019-01-20 10 A,2400.2437271942435
2019-01-20 11 A,2407.3606785167813
2019-01-20 12 A,2188.998361680179
2019-01-20 13 A,2105.229876423447
2019-01-20 14 A,2036.8793918545334
2019-01-20 15 A,1943.873407004837
2019-01-20 16 A,1946.1620355615564
2019-01-20 17 A,1979.2389177842963
2019-01-20 18 A,2184.625956530183
2019-01-20 19 A,2384.8482646284992
2019-01-20 20 A,2428.2465114514634
2019-01-20 21 A,2410.2847533911695
2019-01-20 22 A,2330.314202287989
2019-01-20 23 A,2227.988245695839
2019-01-20 24 A,2149.6510552084424
2019-01-21 01 A,1959.1099624759424
2019-01-21 02 A,1747.1927682260998
2019-01-21 03 A,1698.6142237661516
2019-01-21 04 A,1718.8146214831845
2019-01-21 05 A,1937.080505867863
2019-01-21 06 A,2129.9599720361653
2019-01-21 07 A,2433.114810701651
2019-01-21 08 A,2921.8630502545134
2019-01-21 09 A,2936.0658529757225
2019-01-21 10 A,2833.951817207691
2019-01-21 11 A,2733.337180955472
2019-01-21 12 A,2459.470207305851
2019-01-21 13 A,2287.1450555151832
2019-01-21 14 A,2193.7763458865447
2019-01-21 15 A,2088.0742882724853
2019-01-21 16 A,2073.9339817936916
2019-01-21 17 A,2107.0108640164312
2019-01-21 18 A,2328.9553810095085
2019-01-21 19 A,2636.9752175757853
2019-01-21 20 A,2706.6973306394275
2019-01-21 21 A,2690.71505314128
2019-01-21 22 A,2640.7914784243044
2019-01-21 23 A,2511.6148090110723
2019-01-21 24 A,2387.506842075497
2019-01-22 01 A,2018.3958732886633
2019-01-22 02 A,1791.0405537708461
2019-01-22 03 A,1719.8365508056231
2019-01-22 04 A,1739.7602832365628
2019-01-22 05 A,1919.933434252427
2019-01-22 06 A,2112.8129004207294
2019-01-22 07 A,2412.332455260398
2019-01-22 08 A,2882.0981382424693
2019-01-22 09 A,2902.236231105071
2019-01-22 10 A,2802.6841364251336
2019-01-22 11 A,2702.0695001729146
2019-01-22 12 A,2428.2025265232937
2019-01-22 13 A,2255.877374732626
2019-01-22 14 A,2162.5086651039874
2019-01-22 15 A,2040.7518481814354
2019-01-22 16 A,2026.6115417026413
2019-01-22 17 A,2059.688423925382
2019-01-22 18 A,2281.632940918459
2019-01-22 19 A,2589.652777484736
2019-01-22 20 A,2659.374890548378
2019-01-22 21 A,2643.3926130502305
2019-01-22 22 A,2593.469038333255
2019-01-22 23 A,2464.292368920023
2019-01-22 24 A,2340.1844019844475
2019-01-23 01 A,1994.31760456138
2019-01-23 02 A,1759.833624298431
2019-01-23 03 A,1683.457353240103
2019-01-23 04 A,1703.3810856710427
2019-01-23 05 A,1876.0884900386839
2019-01-23 06 A,2068.9679562069855
2019-01-23 07 A,2368.487511046654
2019-01-23 08 A,2845.381854773858
2019-01-23 09 A,2865.5199476364596
2019-01-23 10 A,2765.967852956522
2019-01-23 11 A,2665.353216704303
2019-01-23 12 A,2391.4862430546823
2019-01-23 13 A,2219.1610912640144
2019-01-23 14 A,2125.792381635376
2019-01-23 15 A,2004.035564712824
2019-01-23 16 A,1989.8952582340296
2019-01-23 17 A,2022.9721404567697
2019-01-23 18 A,2244.9166574498477
2019-01-23 19 A,2552.9364940161245
2019-01-23 20 A,2622.6586070797666
2019-01-23 21 A,2606.676329581619
2019-01-23 22 A,2551.8993180400075
2019-01-23 23 A,2422.7226486267755
2019-01-23 24 A,2298.6146816912
2019-01-24 01 A,2016.1280280372223
2019-01-24 02 A,1788.7727085194051
2019-01-24 03 A,1712.396437461077
2019-01-24 04 A,1732.3201698920168
2019-01-24 05 A,1905.027574259658
2019-01-24 06 A,2097.90704042796
2019-01-24 07 A,2397.4265952676287
2019-01-24 08 A,2867.1922782497
2019-01-24 09 A,2887.3303711123017
2019-01-24 10 A,2787.7782764323642
2019-01-24 11 A,2687.163640180145
2019-01-24 12 A,2413.2966665305244
2019-01-24 13 A,2240.9715147398565
2019-01-24 14 A,2147.602805111218
2019-01-24 15 A,2025.8459881886668
2019-01-24 16 A,2011.7056817098726
2019-01-24 17 A,2044.7825639326127
2019-01-24 18 A,2266.7270809256897
2019-01-24 19 A,2587.872724776326
2019-01-24 20 A,2657.594837839968
2019-01-24 21 A,2641.6125603418204
2019-01-24 22 A,2591.688985624845
2019-01-24 23 A,2462.512316211613
2019-01-24 24 A,2338.4043492760375
2019-01-25 01 A,2088.201365784366
2019-01-25 02 A,1860.846046266549
2019-01-25 03 A,1780.9149651649914
2019-01-25 04 A,1800.838697595931
2019-01-25 05 A,2045.5284682165402
2019-01-25 06 A,2238.407934384842
2019-01-25 07 A,2537.927489224511
2019-01-25 08 A,3007.6931722065824
2019-01-25 09 A,3027.831265069184
2019-01-25 10 A,2928.2791703892467
2019-01-25 11 A,2827.6645341370277
2019-01-25 12 A,2553.797560487407
2019-01-25 13 A,2381.472408696739
2019-01-25 14 A,2288.1036990681005
2019-01-25 15 A,2166.346882145549
2019-01-25 16 A,2152.2065756667553
2019-01-25 17 A,2185.283457889495
2019-01-25 18 A,2407.227974882572
2019-01-25 19 A,2689.419884752248
2019-01-25 20 A,2746.5591232822994
2019-01-25 21 A,2727.953281485058
2019-01-25 22 A,2656.9533582763556
2019-01-25 23 A,2556.4418705518365
2019-01-25 24 A,2474.3988135865434
2019-01-26 01 A,2186.7722718633977
2019-01-26 02 A,1973.992911831805
2019-01-26 03 A,1911.3832756115396
2019-01-26 04 A,1930.0270598562965
2019-01-26 05 A,2036.5176591707277
2019-01-26 06 A,2121.934308887783
2019-01-26 07 A,2340.3165905877736
2019-01-26 08 A,2621.815484962967
2019-01-26 09 A,2716.258560667053
2019-01-26 10 A,2719.973887835053
2019-01-26 11 A,2668.0457539107924
2019-01-26 12 A,2442.632122269168
2019-01-26 13 A,2358.863637012436
2019-01-26 14 A,2284.2644972954513
2019-01-26 15 A,2162.5076803729003
2019-01-26 16 A,2148.3673738941065
2019-01-26 17 A,2181.444256116846
2019-01-26 18 A,2373.3091665407396
2019-01-26 19 A,2553.320562288587
2019-01-26 20 A,2577.5187037049204
2019-01-26 21 A,2554.7591365392545
2019-01-26 22 A,2480.2918278095003
2019-01-26 23 A,2395.431381137637
2019-01-26 24 A,2325.369268254571
2019-01-27 01 A,2112.5311794564745
2019-01-27 02 A,1904.270077289328
2019-01-27 03 A,1841.6604410690625
2019-01-27 04 A,1860.3042253138194
2019-01-27 05 A,1903.0140918324632
2019-01-27 06 A,1988.430741549516
2019-01-27 07 A,2182.588422828165
2019-01-27 08 A,2410.358480266734
2019-01-27 09 A,2532.5238725368663
2019-01-27 10 A,2552.2421385408807
2019-01-27 11 A,2559.3590898634184
2019-01-27 12 A,2340.9967730268163
2019-01-27 13 A,2257.228287770084
2019-01-27 14 A,2188.877803201172
2019-01-27 15 A,2095.871818351474
2019-01-27 16 A,2083.1136362455854
2019-01-27 17 A,2116.190518468324
2019-01-27 18 A,2317.738504876338
2019-01-27 19 A,2517.9608129746543
2019-01-27 20 A,2566.442691791593
2019-01-27 21 A,2548.480933731299
2019-01-27 22 A,2483.5956573197163
2019-01-27 23 A,2376.186068733592
2019-01-27 24 A,2301.687930584069
2019-01-28 01 A,1987.2523643995985
2019-01-28 02 A,1775.3351701497559
2019-01-28 03 A,1726.7566256898076
2019-01-28 04 A,1746.9570234068406
2019-01-28 05 A,1950.0171211095196
2019-01-28 06 A,2142.8965872778217
2019-01-28 07 A,2446.051425943307
2019-01-28 08 A,2918.3143490889643
2019-01-28 09 A,2932.5171518101733
2019-01-28 10 A,2830.403116042142
2019-01-28 11 A,2729.788479789923
2019-01-28 12 A,2455.921506140302
2019-01-28 13 A,2283.596354349634
2019-01-28 14 A,2190.2276447209956
2019-01-28 15 A,2079.974696218993
2019-01-28 16 A,2065.834389740199
2019-01-28 17 A,2098.911271962939
2019-01-28 18 A,2320.855788956016
2019-01-28 19 A,2620.9865947623025
2019-01-28 20 A,2680.690364504599
2019-01-28 21 A,2664.7080870064515
2019-01-28 22 A,2629.869786981074
2019-01-28 23 A,2504.5483023430693
2019-01-28 24 A,2380.440335407494
2019-01-29 01 A,1962.6037446359073
2019-01-29 02 A,1735.2484251180902
2019-01-29 03 A,1664.044422152867
2019-01-29 04 A,1683.9681545838066
2019-01-29 05 A,1864.141305599671
2019-01-29 06 A,2045.0628507966405
2019-01-29 07 A,2344.5824056363103
2019-01-29 08 A,2794.0539659788064
2019-01-29 09 A,2808.2567687000155
2019-01-29 10 A,2706.142732931984
2019-01-29 11 A,2628.543036864061
2019-01-29 12 A,2354.67606321444
2019-01-29 13 A,2182.3509114237722
2019-01-29 14 A,2088.9822017951324
2019-01-29 15 A,1979.3014820260605
2019-01-29 16 A,1965.1611755472663
2019-01-29 17 A,1998.2380577700062
2019-01-29 18 A,2214.194407481543
2019-01-29 19 A,2478.6122284017656
2019-01-29 20 A,2538.315998144062
2019-01-29 21 A,2522.3337206459146
2019-01-29 22 A,2487.495420620537
2019-01-29 23 A,2377.1501440900884
2019-01-29 24 A,2275.1423788256066
2019-01-30 01 A,1916.0667500760549
2019-01-30 02 A,1688.7114305582377
2019-01-30 03 A,1612.3351594999094
2019-01-30 04 A,1632.2588919308491
2019-01-30 05 A,1781.6537168083282
2019-01-30 06 A,1962.5752620052976
2019-01-30 07 A,2257.524668647576
2019-01-30 08 A,2706.9962289900723
2019-01-30 09 A,2721.1990317112813
2019-01-30 10 A,2619.08499594325
2019-01-30 11 A,2548.0724050470226
2019-01-30 12 A,2283.754078450219
2019-01-30 13 A,2111.428926659551
2019-01-30 14 A,2018.0602170309091
2019-01-30 15 A,1908.3794972618384
2019-01-30 16 A,1894.2391907830443
2019-01-30 17 A,1927.3160730057841
